Time (ms)     cl  pb      cost
   6662.39    1    1   1504.750
   6757.79    1    2   1481.585
   7401.63    1    3   1656.469
   6906.15    1    4   1625.435
   7800.86    1    5   1601.768
   8529.38    1    6   2185.926
   9506.51    1    7   1837.223
   7764.55    1    8   1770.959
   8741.80    1    9   1741.853
   6717.01    1   10   1696.762
   6805.05    1   11   1867.563
   7325.12    1   12   1709.531
   7669.19    1   13   1472.920
   8630.93    1   14   1981.477
   7986.74    1   15   1932.326
   6611.69    1   16   1941.127
   7818.20    1   17   1866.352
   8767.52    1   18   1569.669
   7297.66    1   19   1633.157
   8225.58    1   20   1735.248
   9060.38    1   21   2223.282
   8818.92    1   22   1828.603
   9297.72    1   23   1736.461
   8780.34    1   24   1928.167
   8458.97    1   25   1730.634
   7400.74    1   26   1653.925
   6707.36    1   27   2124.528
   7964.21    1   28   1552.279
   7974.99    1   29   1486.195
   6552.18    1   30   1800.016
   6899.70    1   31   1612.878
   8442.53    1   32   1855.108
   9526.78    1   33   1729.751
   8771.54    1   34   1852.987
   7901.90    1   35   1584.140
   8796.98    1   36   1606.728
   8035.62    1   37   1596.363
   6870.77    1   38   1630.383
   8209.17    1   39   1645.514
   6965.74    1   40   1665.003
   6844.46    1   41   1920.182
   6454.59    1   42   1560.731
   8365.38    1   43   1524.607
   7513.31    1   44   1603.063
   7939.66    1   45   1883.981
   6865.24    2    1   2864.231
   7031.73    2    2   3996.614
   7116.36    2    3   3399.572
   7015.92    2    4   2326.612
   9349.79    2    5   2951.558
   7773.35    2    6   4012.117
   6777.40    2    7   2545.822
   8465.16    2    8   2179.054
   7919.59    2    9   2632.817
   7074.53    2   10   3311.134
   7339.39    2   11   3693.502
   6777.44    2   12   3469.747
   6678.68    2   13   3766.159
   6574.04    2   14   3260.910
   6541.99    2   15   3395.886
   6358.82    2   16   2800.627
   7469.97    2   17   3307.305
   7743.20    2   18   3077.381
   6994.65    2   19   4557.741
   6665.66    2   20   4648.253
   9612.67    2   21   2526.400
   7905.50    2   22   3935.383
   6180.58    2   23   4034.438
   7406.25    2   24   3560.832
   7916.51    2   25   3260.467
   6519.63    2   26   3522.898
   9860.88    2   27   2694.132
   7274.09    2   28   3705.348
   6336.60    2   29   3200.512
   6620.64    2   30   3246.449
   7751.37    2   31   2331.442
   6078.43    2   32   4551.645
   7239.35    2   33   2898.849
   6845.45    2   34   1589.751
   6650.97    2   35   2197.260
   6230.75    2   36   5035.884
   6396.71    2   37   3229.007
   8326.46    2   38   1874.207
   6608.81    2   39   2029.035
   8141.03    2   40   3765.052
   6598.61    2   41   3703.750
   7011.50    2   42   3823.056
   7565.16    2   43   2835.669
   8371.37    2   44   2415.253
   6376.04    2   45   2197.159
   7509.88    3    1   8395.627
   5943.08    3    2   7141.553
   7775.21    3    3   7704.306
   6134.59    3    4   9697.985
   6122.84    3    5  10351.902
   6447.08    3    6   9325.698
   6244.41    3    7  12521.953
   6859.26    3    8   9414.028
   7147.35    3    9  12542.472
   6093.72    3   10   7553.130
   7163.27    3   11  11830.348
   6293.19    3   12  12957.854
   5848.29    3   13  14002.673
   6786.55    3   14  11896.070
   6593.07    3   15   9755.762
   6788.83    3   16  12940.388
   6489.37    3   17  15210.247
   6864.37    3   18  11449.404
   6020.67    3   19   7248.822
   6209.72    3   20   8825.368
   7466.23    3   21   7673.549
   6267.30    3   22   7541.837
   8044.64    3   23   8200.595
   6699.59    3   24  11190.839
