Time (ms)     cl  pb      cost
    200.64    1    1    251.378
    136.14    1    2    267.563
    212.06    1    3    332.893
    210.27    1    4    276.481
    206.71    1    5    233.757
    202.05    1    6    253.724
    130.49    1    7    250.693
    210.38    1    8    319.099
    201.33    1    9    268.182
    142.19    1   10    279.475
    133.22    1   11    322.741
    142.05    1   12    279.334
    225.22    1   13    267.607
    141.06    1   14    264.750
    141.11    1   15    244.851
    144.41    1   16    280.860
    216.07    1   17    278.782
    140.22    1   18    329.272
    205.44    1   19    281.288
    207.78    1   20    237.358
    132.56    1   21    273.806
    138.57    1   22    291.361
    147.77    1   23    280.854
    212.84    1   24    252.252
    142.29    1   25    259.045
    207.35    1   26    300.620
    196.82    1   27    362.028
    128.80    1   28    320.286
    137.76    1   29    274.114
    202.92    1   30    370.224
    199.66    1   31    260.575
    203.11    1   32    267.906
    152.45    1   33    287.892
    206.45    1   34    257.907
    203.24    1   35    292.618
    145.54    1   36    272.087
    140.83    1   37    258.760
    145.98    1   38    292.733
    221.42    1   39    252.794
    132.17    1   40    268.266
    142.27    1   41    313.168
    200.81    1   42    271.039
    210.78    1   43    307.809
    195.45    1   44    291.249
    203.99    1   45    314.070
    212.84    2    1    350.158
    189.85    2    2    293.530
    182.10    2    3    363.789
    196.27    2    4    273.778
    205.36    2    5    334.946
    189.49    2    6    260.280
    200.98    2    7    266.386
    206.52    2    8    223.205
    209.32    2    9    268.141
    122.72    2   10    477.745
    128.70    2   11    433.534
    153.22    2   12    248.895
    130.79    2   13    422.093
    131.98    2   14    473.220
    137.15    2   15    352.833
    187.35    2   16    323.791
    128.49    2   17    324.496
    125.08    2   18    415.938
    138.67    2   19    359.529
    136.78    2   20    284.356
    139.64    2   21    300.584
    142.32    2   22    344.535
    191.61    2   23    427.402
    133.99    2   24    343.974
    135.51    2   25    485.845
    117.12    2   26    368.947
    187.85    2   27    446.940
    197.72    2   28    466.036
    191.53    2   29    476.684
    191.68    2   30    451.913
    120.61    2   31    409.166
    189.95    2   32    318.458
    199.57    2   33    254.049
    192.02    2   34    222.102
    197.63    2   35    203.156
    195.37    2   36    386.076
    201.14    2   37    416.627
    137.13    2   38    392.578
    199.15    2   39    323.864
    129.78    2   40    255.421
    205.46    2   41    295.979
    193.64    2   42    394.855
    209.01    2   43    274.375
    208.20    2   44    338.049
    210.13    2   45    285.650
    126.00    3    1    935.373
    115.07    3    2   1001.046
    117.17    3    3   1761.959
    127.50    3    4    976.712
    117.52    3    5   1056.692
    106.23    3    6    711.944
    115.82    3    7   1233.349
    116.00    3    8    669.632
    130.55    3    9    481.167
    115.78    3   10   1183.922
    118.88    3   11   1443.096
    125.77    3   12    669.191
    116.17    3   13    874.048
    119.77    3   14    850.798
    114.04    3   15   1337.279
    120.10    3   16    794.188
    122.25    3   17    821.791
    194.84    3   18   1112.235
    195.45    3   19    881.694
    130.69    3   20    880.369
    195.37    3   21    900.009
    126.16    3   22    583.848
    194.65    3   23    767.673
    193.56    3   24    846.195
    180.13    3   25   1046.165
    136.60    3   26    831.094
    161.52    3   27   1540.824
    125.58    3   28   1208.588
    109.08    3   29   1589.537
    187.63    3   30   1664.759
    126.57    3   31    549.938
    171.96    3   32    718.149
    111.07    3   33   1018.531
    186.75    3   34    762.514
    179.85    3   35    849.725
    188.96    3   36    831.146
    191.56    3   37    958.467
    179.39    3   38    890.822
    189.76    3   39    923.847
    120.66    3   40   1038.788
    191.26    3   41    415.792
    122.25    3   42    526.159
    191.73    3   43    955.747
    183.76    3   44   1152.034
    136.36    3   45    559.208
    125.32    4    1   1678.023
    118.12    4    2   1743.781
    118.52    4    3   1583.394
    118.55    4    4   1467.976
    135.92    4    5   1256.871
    189.67    4    6    697.084
    184.57    4    7   2072.329
    188.94    4    8   1225.222
    134.61    4    9   2240.163
    115.83    4   10   1443.006
    174.43    4   11   2694.634
    177.73    4   12   1928.140
    186.52    4   13   1135.823
    179.04    4   14   1542.587
    187.66    4   15    981.059
    192.77    4   16   1697.284
    181.53    4   17   1598.259
    168.70    4   18   2417.589
    179.87    4   19   1910.389
    186.44    4   20   1202.252
    162.86    4   21   1663.925
    184.89    4   22    933.618
    186.26    4   23   1384.461
    184.90    4   24   1128.504
    191.28    4   25   1107.539
    119.19    4   26   1977.022
    177.79    4   27   1598.748
    174.15    4   28   2807.977
    127.03    4   29   1806.845
    178.94    4   30   2162.937
    119.24    4   31   1419.853
    190.40    4   32   1407.658
    183.31    4   33   2460.536
    125.73    4   34   1300.034
    191.39    4   35   1740.816
    179.04    4   36   1097.614
    190.51    4   37   1036.443
    128.06    4   38   1199.859
    199.60    4   39   1243.311
    114.65    4   40   2092.109
    179.37    4   41   1403.677
    134.05    4   42   1907.940
    113.04    4   43   1224.142
    115.38    4   44   1217.046
    118.74    4   45    946.790
    126.51    5    1    358.294
    209.78    5    2    507.101
    137.16    5    3    516.519
    133.66    5    4    912.755
    131.11    5    5    676.678
    129.02    5    6    282.571
    125.04    5    7    560.397
    140.73    5    8    944.070
    186.62    5    9   1006.604
    202.65    5   10    359.104
    124.77    5   11    316.453
    119.86    5   12    713.266
    196.09    5   13    339.950
    200.49    5   14    402.803
    184.37    5   15    267.791
    194.31    5   16    762.017
    118.08    5   17    543.931
    219.86    5   18    617.990
    191.55    5   19    585.554
    182.38    5   20    487.555
    129.23    5   21    462.948
    151.53    5   22    396.378
    148.82    5   23    579.155
    192.67    5   24    415.407
    134.72    5   25    555.301
    129.35    5   26    475.456
    213.62    5   27    509.375
    133.81    5   28    294.786
    124.36    5   29    729.540
    126.62    5   30    386.617
    121.70    5   31    903.028
    187.16    5   32    796.474
    122.79    5   33    542.533
    187.18    5   34    597.055
    206.05    5   35    312.625
    118.58    5   36    676.233
    124.94    5   37    556.130
    189.84    5   38    603.442
    125.39    5   39    971.386
    139.65    5   40    446.094
    210.67    5   41   1069.276
    189.00    5   42    748.436
    195.17    5   43    798.644
    193.36    5   44    375.515
    188.03    5   45    663.543
    139.53    6    1   1560.052
    136.88    6    2   1264.350
    130.25    6    3   1253.667
    147.03    6    4    988.905
    227.97    6    5   1136.566
    127.61    6    6   1579.670
    126.46    6    7    941.301
    123.82    6    8   1570.994
    122.60    6    9   1518.435
    117.50    6   10   1464.710
    163.33    6   11   1027.307
    129.26    6   12   1342.426
    202.69    6   13   1439.659
    125.19    6   14   2172.914
    172.79    6   15   1911.833
    123.46    6   16   1380.499
    197.68    6   17   1319.956
    192.45    6   18   1577.445
    187.08    6   19    925.391
    187.37    6   20   1169.308
    197.25    6   21   1014.730
    191.61    6   22   1547.179
    129.59    6   23   1016.741
    188.38    6   24   1096.442
    199.07    6   25   1295.665
    133.18    6   26   1382.222
    199.33    6   27   2114.331
    193.25    6   28   1279.427
    130.22    6   29   1459.127
    203.54    6   30   1261.130
    203.04    6   31   1125.406
    139.22    6   32   1517.591
    131.14    6   33   1309.696
    130.22    6   34   1233.357
    201.57    6   35   1302.390
    117.24    6   36   1189.216
    123.83    6   37   1313.928
    132.81    6   38   1509.972
    125.87    6   39   1391.389
    187.58    6   40   2067.191
    127.52    6   41   1694.460
    182.49    6   42   1789.215
    126.79    6   43   1750.961
    190.14    6   44   1697.017
    206.15    6   45    915.741
    263.11    7    1    293.168
    199.33    7    2    473.682
    215.35    7    3    282.601
    197.94    7    4   1171.185
    220.85    7    5    947.270
    235.73    7    6    556.978
    206.29    7    7    437.646
    211.71    7    8    359.845
    258.12    7    9    986.748
    179.41    7   10    864.983
    181.98    7   11    561.168
    177.89    7   12   2480.989
    195.19    7   13   2017.253
    203.18    7   14    901.821
    192.36    7   15    726.408
    188.47    7   16    861.849
    182.96    7   17   2085.799
    177.64    7   18    916.770
    179.88    7   19   2276.700
    185.54    7   20   1732.488
    176.02    7   21    954.638
    190.84    7   22    850.990
    176.78    7   23   1703.871
    186.23    7   24   1761.458
    179.80    7   25   3772.022
    191.06    7   26   2748.628
    114.72    7   27   1180.531
    187.21    7   28    668.946
    183.26    7   29   1291.721
    193.22    7   30   2984.574
    179.30    7   31   1975.437
    189.43    7   32   4201.192
    184.46    7   33   3960.789
    181.41    7   34   4412.138
    169.13    7   35   1906.112
    182.43    7   36   3257.874
    179.58    7   37   3001.024
    181.17    7   38   3643.607
    176.96    7   39    554.623
    173.77    7   40    983.897
    109.33    7   41   2958.042
    113.52    7   42   3688.325
     99.51    7   43   2005.574
    113.15    7   44   3422.325
    177.00    7   45   3860.735
    130.49    8    1   1602.500
    157.30    8    2    432.000
    145.92    8    3   1447.250
    143.95    8    4   1200.500
    134.48    8    5   2736.000
    157.86    8    6   2599.547
    138.42    8    7    967.141
    151.17    8    8    968.000
    146.95    8    9    752.500
    167.66    8   10   1612.000
    147.13    8   11    611.233
    162.64    8   12   2049.091
    153.12    8   13   2224.125
    204.26    8   14   1632.633
    175.79    8   15    681.800
    200.69    8   16   1665.188
    157.78    8   17   1831.429
    159.94    8   18   1354.685
    150.05    8   19   1207.091
    148.35    8   20   2746.000
    164.14    8   21   2130.582
    155.44    8   22   1001.750
    161.48    8   23   1048.000
    159.40    8   24    796.571
    106.63    8   25   1897.973
    100.31    8   26   2742.219
    150.76    8   27   2323.797
    124.11    8   28    421.479
    112.88    8   29   1750.438
    115.88    8   30   1722.082
    111.35    8   31   2756.061
    197.08    8   32   2322.304
    108.41    8   33   1161.636
    143.75    8   34   1529.636
    166.77    8   35   1297.600
    153.28    8   36   4779.494
    172.06    8   37   1908.234
    151.03    8   38   2761.000
    181.56    8   39   2776.800
    113.98    8   40   1402.228
    113.54    8   41   2288.127
    112.58    8   42   2482.228
    166.19    8   43   1220.156
    166.71    8   44   1222.029
    171.25    8   45   1274.800
    125.79    9    1   1049.432
    146.10    9    2   1059.601
    123.96    9    3    843.561
    200.05    9    4    894.975
    122.73    9    5   1586.173
    152.46    9    6   1156.805
    129.80    9    7    911.510
    190.38    9    8   1546.374
    137.01    9    9   1134.022
    135.95    9   10    853.987
    137.52    9   11    481.704
    196.32    9   12    460.225
    135.07    9   13    701.506
    136.46    9   14    525.342
    190.98    9   15    537.872
    184.51    9   16   1231.734
    126.86    9   17    691.501
    187.34    9   18    704.621
    134.20    9   19    811.795
    190.69    9   20    912.266
    140.47    9   21   1069.726
    132.72    9   22    781.571
    191.39    9   23   1458.293
    131.25    9   24   1015.910
    215.87    9   25    574.241
    183.74    9   26    919.493
    144.68    9   27    797.321
    133.95    9   28    519.374
    182.60    9   29   1435.554
    128.89    9   30    898.750
    118.13    9   31    726.061
    144.99    9   32    555.787
    128.79    9   33    636.789
    116.51    9   34   1209.399
    133.50    9   35    875.444
    120.11    9   36    684.530
    124.24    9   37    692.822
    188.85    9   38   1015.840
    124.68    9   39    690.373
    135.84    9   40    704.374
    186.44    9   41   1096.634
    131.91    9   42    747.992
    183.46    9   43   1598.562
    142.54    9   44    727.470
    118.85    9   45   1485.747
    193.33   10    1    266.005
    128.24   10    2    655.023
    189.08   10    3    537.951
    182.76   10    4    697.423
    194.42   10    5    741.305
    181.47   10    6    601.481
    200.11   10    7    634.807
    184.23   10    8    566.901
    193.61   10    9    478.237
    132.02   10   10    653.242
    179.21   10   11    783.927
    130.23   10   12    625.068
    203.51   10   13    887.053
    124.41   10   14    748.357
    187.68   10   15    889.476
    128.09   10   16    557.339
    186.35   10   17    508.511
    193.88   10   18    263.712
    176.50   10   19    393.743
    193.70   10   20    281.960
    169.54   10   21    481.649
    175.03   10   22    450.866
    167.83   10   23    438.407
    184.38   10   24    491.687
    123.71   10   25    516.484
    182.99   10   26    644.347
    126.52   10   27    550.025
    195.36   10   28    676.032
    137.82   10   29    514.205
    190.81   10   30    561.136
    191.56   10   31    186.719
    132.65   10   32    491.469
    188.70   10   33    505.671
    127.83   10   34    408.027
    203.93   10   35    409.206
