Time (ms)     cl  pb      cost
   6480.80    1    1   1113.096
   7331.40    1    2   1100.204
   7121.14    1    3   1226.789
   7235.81    1    4   1227.718
   6399.44    1    5   1152.548
   6195.07    1    6   1546.990
   7340.40    1    7   1367.748
   7325.36    1    8   1337.629
   6329.57    1    9   1359.022
   7182.58    1   10   1282.771
   7997.58    1   11   1391.566
   7034.75    1   12   1230.597
   6658.46    1   13   1085.120
   6745.49    1   14   1504.329
   6640.13    1   15   1482.375
   6848.79    1   16   1501.100
   6428.16    1   17   1405.385
   8187.44    1   18   1149.119
   6834.89    1   19   1185.265
   6685.79    1   20   1289.870
   7209.48    1   21   1643.925
   7251.13    1   22   1372.940
   7385.51    1   23   1322.944
   6743.42    1   24   1481.586
   8463.35    1   25   1227.204
   6610.30    1   26   1236.525
   6904.21    1   27   1491.537
   6937.64    1   28   1147.828
   7146.67    1   29   1101.088
   6707.39    1   30   1295.928
   6656.35    1   31   1154.349
   7397.07    1   32   1262.430
   7382.46    1   33   1311.615
   7373.14    1   34   1348.933
   6760.61    1   35   1133.858
   6592.93    1   36   1188.834
   7239.13    1   37   1158.103
   6748.29    1   38   1234.894
   6561.18    1   39   1237.866
   7248.89    1   40   1211.309
   7449.56    1   41   1386.310
   7448.11    1   42   1136.214
   8249.43    1   43   1125.508
   7324.99    1   44   1182.780
   6792.78    1   45   1304.867
   7608.37    2    1   1902.611
   7211.90    2    2   2725.098
   5956.14    2    3   2975.181
   7364.13    2    4   1910.088
   6982.84    2    5   2059.793
   6334.57    2    6   2913.551
   6451.76    2    7   1791.263
   6767.60    2    8   1722.887
   7370.51    2    9   1833.638
   7012.74    2   10   2270.131
   7839.53    2   11   2674.660
   7557.46    2   12   2360.499
   6621.36    2   13   2491.811
   7395.87    2   14   2159.475
   6753.29    2   15   2642.691
   6453.54    2   16   1897.652
   6104.14    2   17   2451.275
   6274.11    2   18   2372.704
   7046.95    2   19   2886.703
   6599.83    2   20   3003.795
   6915.82    2   21   1941.312
   6759.03    2   22   3030.688
   6432.46    2   23   2653.881
   6319.91    2   24   2520.544
   6745.96    2   25   2884.244
   6030.10    2   26   2951.087
   7735.96    2   27   2193.892
   7038.40    2   28   2973.935
   6309.55    2   29   2673.694
   6437.14    2   30   2603.659
   7058.12    2   31   1835.898
   5891.51    2   32   3290.515
   6326.75    2   33   2073.671
   6691.70    2   34   1114.827
   6102.66    2   35   1603.030
   5961.24    2   36   3884.247
   6858.81    2   37   2384.560
   7275.60    2   38   1343.959
   6923.25    2   39   1432.027
   6523.67    2   40   2820.833
   6004.86    2   41   2863.460
   6856.37    2   42   2688.298
   6715.53    2   43   1920.988
   7227.19    2   44   1820.065
   6486.76    2   45   1613.905
   6144.98    3    1   7021.615
   5807.48    3    2   4696.099
   6928.92    3    3   6441.680
   6087.53    3    4   7990.150
   5599.48    3    5   9677.619
   6521.68    3    6   7340.424
   6383.56    3    7   9061.784
   6590.01    3    8   7258.734
   6925.10    3    9   8239.262
   5812.66    3   10   5912.008
   6206.02    3   11  10348.861
   6665.68    3   12   8657.431
   5842.65    3   13   9698.651
   6300.72    3   14   7977.730
   6273.28    3   15   8050.044
   6547.72    3   16   9371.433
   6303.96    3   17  12490.654
   6671.03    3   18   7742.454
   6315.33    3   19   5019.103
   6320.33    3   20   6538.382
   6374.01    3   21   5656.988
   7139.62    3   22   4950.775
   6530.22    3   23   6589.624
   6157.21    3   24   9356.594
   6223.92    3   25  10354.692
   5534.00    3   26  10477.935
   6206.97    3   27   7799.190
   5929.75    3   28  10876.621
   6223.06    3   29   6236.226
   6480.12    3   30   5782.087
   6289.50    3   31   3599.751
   6782.83    3   32   5929.362
   6394.95    3   33   6537.093
   6491.53    3   34   6552.076
   6276.28    3   35  10487.940
   6670.74    3   36   6313.948
   6305.13    3   37   6085.285
   7123.18    3   38   6015.820
   6510.62    3   39   8382.676
   6149.00    3   40   6949.358
   7809.54    3   41   4547.062
   7034.08    3   42   7410.068
   6223.66    3   43   9381.114
   6134.45    3   44  13083.775
   6857.71    3   45   5348.955
