Time (ms)     cl  pb      cost
    207.04    1    1    287.419
    151.03    1    2    303.886
    199.47    1    3    367.602
    215.98    1    4    316.420
    206.76    1    5    266.215
    200.00    1    6    292.454
    144.92    1    7    283.707
    218.85    1    8    350.119
    206.27    1    9    304.581
    146.27    1   10    311.301
    148.18    1   11    364.816
    146.87    1   12    318.202
    210.63    1   13    307.299
    149.95    1   14    302.515
    135.11    1   15    276.532
    158.80    1   16    313.954
    206.42    1   17    322.252
    143.13    1   18    366.490
    208.81    1   19    320.329
    205.90    1   20    270.348
    137.80    1   21    308.240
    149.34    1   22    330.472
    149.95    1   23    312.299
    194.07    1   24    286.943
    139.50    1   25    298.566
    204.94    1   26    333.479
    195.90    1   27    415.688
    140.29    1   28    365.246
    150.81    1   29    313.528
    204.15    1   30    420.122
    202.44    1   31    295.047
    207.53    1   32    309.250
    149.23    1   33    326.681
    213.28    1   34    295.784
    204.85    1   35    339.302
    145.66    1   36    309.020
    167.14    1   37    295.701
    167.99    1   38    329.480
    211.48    1   39    288.918
    158.16    1   40    301.466
    146.37    1   41    353.731
    216.10    1   42    307.423
    227.36    1   43    349.169
    202.91    1   44    328.404
    207.33    1   45    348.854
    244.95    2    1    389.370
    204.74    2    2    316.724
    207.42    2    3    428.829
    220.66    2    4    295.965
    204.62    2    5    371.998
    213.40    2    6    289.565
    230.94    2    7    293.790
    219.79    2    8    246.833
    221.31    2    9    296.800
    145.15    2   10    552.730
    141.49    2   11    468.179
    163.44    2   12    279.696
    144.29    2   13    460.978
    147.19    2   14    530.758
    167.70    2   15    415.969
    221.28    2   16    359.463
    162.95    2   17    348.060
    165.10    2   18    463.283
    149.21    2   19    426.714
    163.57    2   20    313.603
    164.68    2   21    344.491
    172.13    2   22    395.206
    221.29    2   23    457.319
    153.75    2   24    411.802
    148.24    2   25    527.444
    164.38    2   26    402.841
    214.44    2   27    544.798
    212.00    2   28    558.848
    213.26    2   29    527.923
    230.69    2   30    489.712
    140.81    2   31    432.594
    206.44    2   32    367.419
    207.82    2   33    289.329
    209.13    2   34    246.686
    212.53    2   35    229.357
    226.48    2   36    416.496
    226.04    2   37    450.130
    151.42    2   38    412.357
    214.95    2   39    357.100
    168.65    2   40    284.522
