Time (ms)     cl  pb      cost
    216.80    1    1    340.544
    147.10    1    2    358.103
    213.24    1    3    428.222
    207.89    1    4    379.321
    211.85    1    5    309.877
    225.92    1    6    353.891
    137.34    1    7    333.517
    217.36    1    8    397.353
    217.62    1    9    361.022
    151.75    1   10    359.082
    152.87    1   11    430.694
    156.62    1   12    376.581
    202.82    1   13    358.872
    156.53    1   14    358.906
    138.88    1   15    327.130
    154.37    1   16    366.530
    218.49    1   17    378.216
    143.50    1   18    440.960
    206.86    1   19    376.684
    213.39    1   20    321.202
    146.01    1   21    361.627
    142.49    1   22    390.528
    140.38    1   23    365.324
    196.68    1   24    341.040
    138.09    1   25    360.038
    203.11    1   26    391.634
    220.21    1   27    503.273
    140.37    1   28    440.815
    147.65    1   29    371.549
    198.43    1   30    506.010
    207.06    1   31    350.549
    199.47    1   32    371.881
    148.32    1   33    388.816
    204.22    1   34    353.501
    206.07    1   35    412.913
    147.04    1   36    364.489
    171.62    1   37    351.783
    144.33    1   38    391.954
    207.41    1   39    339.000
    146.62    1   40    348.805
    148.87    1   41    408.327
    201.03    1   42    361.849
    224.12    1   43    408.688
    201.70    1   44    386.670
    197.02    1   45    413.972
    202.65    2    1    468.369
    197.27    2    2    363.212
    188.48    2    3    557.740
    216.01    2    4    340.035
    198.89    2    5    448.563
    200.74    2    6    340.070
    208.41    2    7    339.568
    223.00    2    8    294.343
    207.62    2    9    360.884
    128.70    2   10    693.419
    141.82    2   11    543.785
    124.66    2   12    328.298
    129.67    2   13    563.555
    149.14    2   14    667.037
    134.25    2   15    539.395
    215.17    2   16    440.006
    143.42    2   17    396.277
    150.94    2   18    564.983
    135.14    2   19    554.360
    141.86    2   20    387.138
    163.20    2   21    432.503
    144.45    2   22    497.340
    195.48    2   23    539.419
    134.47    2   24    539.852
    136.45    2   25    639.009
    162.03    2   26    472.465
    188.95    2   27    720.608
    196.60    2   28    716.876
    199.60    2   29    666.793
    198.37    2   30    596.291
    131.25    2   31    514.768
    191.45    2   32    469.838
    201.32    2   33    350.679
    199.65    2   34    297.686
    193.59    2   35    276.638
    209.10    2   36    485.138
    194.67    2   37    539.879
    137.81    2   38    479.771
    198.74    2   39    436.301
    142.57    2   40    341.156
    196.92    2   41    431.146
    189.79    2   42    560.527
    193.54    2   43    355.313
    204.99    2   44    460.203
    212.07    2   45    393.545
    157.17    3    1   1162.438
    113.07    3    2   1543.864
    119.25    3    3   2243.817
    133.07    3    4   1279.768
    135.83    3    5   1325.940
    132.63    3    6    991.634
    118.43    3    7   1607.279
    123.20    3    8    912.898
    132.88    3    9    630.668
    118.80    3   10   1561.226
    120.75    3   11   1984.348
    135.64    3   12    975.265
    126.66    3   13   1119.446
    136.08    3   14   1058.268
    118.36    3   15   1627.176
    129.63    3   16   1069.866
    134.36    3   17   1008.442
    218.82    3   18   1705.910
    198.57    3   19   1232.928
    147.48    3   20   1291.697
