Time (ms)     cl  pb      cost
   7666.93    3   10   6288.701
   7256.49    3   11  10519.315
   7014.14    3   12   9928.958
   6429.93    3   13  10837.920
   7203.81    3   14   9166.231
   9830.68    3   15   8543.942
   7929.35    3   16  10359.237
   7620.43    3   17  13018.871
   8318.95    3   18   8802.325
  11145.25    3   19   5674.830
   7984.55    3   20   7165.509
  10555.30    3   21   6389.229
   9546.50    3   22   5738.542
  10280.64    3   23   7153.454
   7304.91    3   24   9636.979
   7532.41    3   25  12151.285
   8331.13    3   26  11760.405
   7613.58    3   27   9085.975
   6715.43    3   28  14305.338
   8503.84    3   29   7127.444
  11847.04    3   30   6072.397
   8894.81    3   31   4052.043
  15424.12    3   32   6181.461
  13697.02    3   33   7141.240
  22418.17    3   34   7439.034
  10612.64    3   35  12520.409
   7287.40    3   36   7011.776
  12534.00    3   37   6253.074
   7331.04    3   38   7334.979
   8659.76    3   39  10894.155
   6794.87    3   40   7667.839
  13867.04    3   41   4828.037
   7786.35    3   42   8455.900
   9732.82    3   43  10202.630
   7080.97    3   44  14623.148
  10072.06    3   45   6526.273
   7340.37    4    1  24575.182
  15780.29    4    2   8569.554
   7130.10    4    3  20919.303
   9731.76    4    4  18910.533
  14799.62    4    5   8545.925
  15026.69    4    6  11705.659
  18510.47    4    7  11053.506
  12825.92    4    8   9342.769
   6748.95    4    9  13292.333
   8072.53    4   10  22010.964
  16988.75    4   11  12435.184
   9503.18    4   12  16602.661
   6948.50    4   13  21711.905
   7133.73    4   14  24036.145
   7501.68    4   15  20551.706
   6723.80    4   16  20192.636
   6599.65    4   17  13546.244
   6836.66    4   18  17512.887
  10393.83    4   19  17950.351
  13075.59    4   20   9723.382
   6992.13    4   21  12294.377
  11577.83    4   22   7995.300
   7735.91    4   23   5722.032
   9496.97    4   24  10362.412
   6816.55    4   25  14091.984
   6786.58    4   26  20010.780
   7009.34    4   27  21675.842
   9531.63    4   28  19167.790
  11962.34    4   29  17434.927
   9770.24    4   30  13663.885
  10040.94    4   31  16533.489
   6596.07    4   32  14887.003
  11158.30    4   33  18572.542
   9946.83    4   34  19649.322
  10623.76    4   35   8166.180
   8518.99    4   36   9190.025
  12190.82    4   37   8862.765
  11044.45    4   38   8593.257
   9872.87    4   39   9483.393
  11068.58    4   40  11934.500
   9069.05    4   41  14428.497
   6631.08    4   42   8597.920
   8327.43    4   43   8284.187
   6765.83    4   44   8046.800
   7604.76    4   45  11837.319
  10166.36    5    1   3929.054
  11562.42    5    2   4273.076
   8009.17    5    3   5669.743
   7450.22    5    4   4329.546
   7956.92    5    5   4359.190
   7045.60    5    6   2780.399
   6933.38    5    7   2630.356
  11583.30    5    8   4487.369
   7771.16    5    9   4087.461
   7519.51    5   10   5252.976
   8347.16    5   11   8476.444
   6868.01    5   12   6792.304
   7631.38    5   13   6606.140
   8600.10    5   14   3692.018
   9924.81    5   15   5232.565
  10184.86    5   16   4588.425
   7194.63    5   17   5413.039
   7465.56    5   18   4387.633
   8317.53    5   19   3267.920
   8350.95    5   20   1708.110
   9516.88    5   21   2453.576
   8450.13    5   22   3423.070
  10125.95    5   23   3270.967
  13083.74    5   24   2252.928
   8018.95    5   25   2932.448
   8070.12    5   26   3349.721
   6753.36    5   27   5046.425
  11469.26    5   28   3344.564
   7027.62    5   29   5433.623
   9049.45    5   30   5029.246
   8563.65    5   31   2389.019
   9714.45    5   32   3658.287
  10687.98    5   33   2459.612
   9581.52    5   34   4500.090
   7196.65    5   35   3342.760
   7289.48    5   36   2760.977
   8209.91    5   37   2677.625
   8267.50    5   38   3813.670
  16085.60    5   39   2427.868
  10630.30    5   40   2894.459
  10859.47    5   41   3093.266
  24317.75    5   42   3007.651
  13263.05    5   43   4086.921
   7847.45    5   44   3371.943
  23119.31    5   45   4443.146
   8579.30    6    1   6170.810
   9680.15    6    2  15051.832
  14411.18    6    3  17269.920
   8371.02    6    4   7910.968
  12940.37    6    5   7867.230
   9344.64    6    6  20651.122
   9936.47    6    7  11219.743
  14002.63    6    8  10838.952
  13160.97    6    9  15606.841
  10061.78    6   10  10557.772
  16156.79    6   11  10324.272
   8670.33    6   12   7671.265
  15073.57    6   13   6736.602
   8758.19    6   14  13401.554
   8687.46    6   15   8759.311
   8281.69    6   16   8570.333
   8877.74    6   17   9776.020
  12688.02    6   18  10737.721
  13315.77    6   19  13871.228
   7538.77    6   20  14030.847
   8304.37    6   21  10048.522
  12348.87    6   22  16777.200
   7794.97    6   23   7891.810
  10642.08    6   24   6013.861
   8901.50    6   25  13047.834
   8318.53    6   26  13929.462
   9514.05    6   27  11074.984
   7163.26    6   28  11478.665
   8907.65    6   29   9125.401
  10912.07    6   30   7606.321
   8475.51    6   31   7852.061
  10511.45    6   32  18095.474
   9134.35    6   33   9065.697
  10109.19    6   34   9671.414
  13520.98    6   35  11901.814
   8822.71    6   36  18145.572
  13342.93    6   37   9820.805
   9210.26    6   38  10962.026
   7733.67    6   39  12273.488
   9041.56    6   40  19154.845
   9452.58    6   41  11401.753
   9244.53    6   42   9042.117
  10305.80    6   43  11323.452
  10207.58    6   44  13669.508
   9771.32    6   45   6592.771
  10059.89    7    1   6548.061
  13205.92    7    2   2367.260
   9876.99    7    3   4391.291
   8023.52    7    4   4694.733
   7393.43    7    5   6715.583
  16749.37    7    6   3935.453
   9207.75    7    7   6081.242
   9377.07    7    8   5202.697
  10145.23    7    9   4755.387
  11765.44    7   10  12087.707
   7923.87    7   11  11375.907
  18204.23    7   12   6748.474
  18564.96    7   13   9553.576
  20026.77    7   14  11136.069
  17421.54    7   15   5846.264
   8361.24    7   16  11770.222
  15036.72    7   17  13034.257
   7607.94    7   18   9955.675
   7095.50    7   19  11777.261
   6941.80    7   20  16225.727
  13747.99    7   21   4989.766
   7226.01    7   22  16945.617
   7514.04    7   23  11633.428
  10367.38    7   24   7424.386
   7942.04    7   25  16515.449
   6562.05    7   26  13115.343
   8990.70    7   27  10665.730
   7266.12    7   28  19525.101
   7112.75    7   29  21111.653
   6793.72    7   30  12830.482
   6843.15    7   31  15260.911
   7355.66    7   32  17866.961
   8546.41    7   33  12756.262
   7391.84    7   34  24460.230
