Building time 2.700000

   Time       cl    pb      cost
    12.510    10    21    564.882
    14.080    10    22    615.943
    10.560    10    23   1498.729
    13.350    10    24   1111.339
    10.090    10    25    755.003
    10.630    10    26    951.588
    11.390    10    27   1528.772
    10.130    10    28   1934.802
    10.270    10    29   1612.363
    12.870    10    30   1912.428
    10.160    10    31    510.098
    10.660    10    32    957.008
    13.270    10    33    875.656
    11.250    10    34    742.036
    13.150    10    35    513.848
    11.650    10    36   1463.295
    10.790    10    37   1650.458
     9.860    10    38   1111.785
    11.820    10    39    715.325
    10.880    10    40    846.587
    10.280    10    41   1868.632
    12.380    10    42   2890.228
    17.040    10    43   1625.745
    11.160    10    44   3560.130
    12.330    10    45    548.753
