Building time 0.040000

   Time       cl    pb      cost
     0.350     1     1    251.378
     0.520     1     2    267.563
     0.550     1     3    332.893
     0.500     1     4    276.481
     0.470     1     5    233.757
     0.510     1     6    253.724
     0.540     1     7    250.693
     0.470     1     8    319.099
     0.480     1     9    268.182
     0.560     1    10    279.475
     0.440     1    11    322.741
     0.660     1    12    279.334
     0.540     1    13    267.607
     0.560     1    14    264.750
     0.410     1    15    244.851
     0.370     1    16    280.860
     0.510     1    17    278.782
     0.390     1    18    329.272
     0.420     1    19    281.288
     0.460     1    20    237.358
     0.390     1    21    273.806
     0.410     1    22    291.361
     0.380     1    23    280.854
     0.370     1    24    252.252
     0.380     1    25    259.045
     0.510     1    26    300.620
     0.470     1    27    362.028
     0.500     1    28    320.286
     0.470     1    29    274.114
     0.430     1    30    370.224
     0.440     1    31    260.575
     0.360     1    32    267.906
     0.440     1    33    287.892
     0.360     1    34    257.907
     0.540     1    35    292.618
     0.440     1    36    272.087
     0.430     1    37    258.760
     0.590     1    38    292.733
     0.410     1    39    252.794
     0.400     1    40    268.266
     0.450     1    41    313.168
     0.410     1    42    271.039
     0.470     1    43    307.809
     0.420     1    44    291.249
     0.450     1    45    314.070
     0.380     2     1    350.158
     0.490     2     2    293.530
     0.410     2     3    363.789
     0.370     2     4    273.778
     0.450     2     5    334.946
     0.510     2     6    260.280
     0.400     2     7    266.386
     0.330     2     8    223.205
     0.480     2     9    268.141
     0.360     2    10    477.745
     0.510     2    11    433.534
     0.550     2    12    248.895
     0.530     2    13    422.093
     0.340     2    14    473.220
     0.470     2    15    352.833
     0.450     2    16    323.791
     0.490     2    17    324.496
     0.400     2    18    415.938
     0.450     2    19    359.529
     0.390     2    20    284.356
     0.470     2    21    300.584
     0.480     2    22    344.535
     0.320     2    23    427.402
     0.380     2    24    343.974
     0.440     2    25    485.845
     0.470     2    26    368.947
     0.420     2    27    446.940
     0.420     2    28    466.036
     0.370     2    29    476.684
     0.350     2    30    451.913
     0.370     2    31    409.166
     0.480     2    32    318.458
     0.390     2    33    254.049
     0.420     2    34    222.102
     0.360     2    35    203.156
     0.460     2    36    386.076
     0.420     2    37    416.627
     0.350     2    38    392.578
     0.420     2    39    323.864
     0.370     2    40    255.421
     0.410     2    41    295.979
     0.330     2    42    394.855
     0.400     2    43    274.375
     0.430     2    44    338.049
     0.440     2    45    285.650
     0.310     3     1    935.373
     0.320     3     2   1001.046
     0.310     3     3   1761.959
     0.320     3     4    976.712
     0.380     3     5   1056.692
     0.340     3     6    711.944
     0.340     3     7   1233.349
     0.320     3     8    669.632
     0.440     3     9    481.167
     0.450     3    10   1183.922
     0.400     3    11   1443.096
     0.430     3    12    669.191
     0.330     3    13    874.048
     0.350     3    14    850.798
     0.320     3    15   1337.279
     0.360     3    16    794.188
     0.360     3    17    821.791
     0.310     3    18   1112.235
     0.330     3    19    881.694
     0.350     3    20    880.369
     0.410     3    21    900.009
     0.450     3    22    583.848
     0.430     3    23    767.673
     0.360     3    24    846.195
     0.330     3    25   1046.165
     0.370     3    26    831.094
     0.330     3    27   1540.824
     0.340     3    28   1208.588
     0.280     3    29   1589.537
     0.350     3    30   1664.759
     0.390     3    31    549.938
     0.370     3    32    718.149
     0.350     3    33   1018.531
     0.330     3    34    762.514
     0.320     3    35    849.725
     0.350     3    36    831.146
     0.460     3    37    958.467
     0.420     3    38    890.822
     0.490     3    39    923.847
     0.380     3    40   1038.788
     0.340     3    41    415.792
     0.340     3    42    526.159
     0.330     3    43    955.747
     0.310     3    44   1152.034
     0.380     3    45    559.208
     0.320     4     1   1678.023
     0.370     4     2   1743.781
     0.490     4     3   1583.394
     0.570     4     4   1467.976
     0.320     4     5   1256.871
     0.430     4     6    697.084
     0.400     4     7   2072.329
     0.350     4     8   1225.222
     0.290     4     9   2240.163
     0.280     4    10   1443.006
     0.310     4    11   2694.634
     0.350     4    12   1928.140
     0.420     4    13   1135.823
     0.340     4    14   1542.587
     0.300     4    15    981.059
     0.370     4    16   1697.284
     0.490     4    17   1598.259
     0.340     4    18   2417.589
     0.350     4    19   1910.389
     0.490     4    20   1202.252
     0.320     4    21   1663.925
     0.330     4    22    933.618
     0.360     4    23   1384.461
     0.320     4    24   1128.504
     0.430     4    25   1107.539
     0.330     4    26   1977.022
     0.350     4    27   1598.748
     0.430     4    28   2807.977
     0.390     4    29   1806.845
     0.390     4    30   2162.937
     0.320     4    31   1419.853
     0.390     4    32   1407.658
     0.230     4    33   2460.536
     0.350     4    34   1300.034
     0.410     4    35   1740.816
     0.400     4    36   1097.614
     0.320     4    37   1036.443
     0.360     4    38   1199.859
     0.400     4    39   1243.311
     0.420     4    40   2092.109
     0.440     4    41   1403.677
     0.370     4    42   1907.941
     0.320     4    43   1224.142
     0.310     4    44   1217.046
     0.370     4    45    946.790
     0.340     5     1    358.294
     0.430     5     2    507.102
     0.460     5     3    516.519
     0.300     5     4    912.755
     0.310     5     5    676.678
     0.350     5     6    282.571
     0.370     5     7    560.397
     0.320     5     8    944.070
     0.340     5     9   1006.604
     0.510     5    10    359.104
     0.530     5    11    316.453
     0.340     5    12    713.266
     0.430     5    13    339.950
     0.370     5    14    402.803
     0.430     5    15    267.791
     0.390     5    16    762.017
     0.340     5    17    543.931
     0.350     5    18    617.990
     0.350     5    19    585.554
     0.330     5    20    487.555
     0.310     5    21    462.948
     0.410     5    22    396.378
     0.350     5    23    579.155
     0.410     5    24    415.407
     0.430     5    25    555.301
     0.340     5    26    475.456
     0.340     5    27    509.375
     0.360     5    28    294.786
     0.300     5    29    729.540
     0.400     5    30    386.617
     0.320     5    31    903.028
     0.310     5    32    796.474
     0.330     5    33    542.533
     0.480     5    34    597.055
     0.540     5    35    312.625
     0.370     5    36    676.233
     0.390     5    37    556.130
     0.300     5    38    603.442
     0.390     5    39    971.386
     0.430     5    40    446.094
     0.380     5    41   1069.276
     0.420     5    42    748.436
     0.400     5    43    798.644
     0.420     5    44    375.515
     0.360     5    45    663.543
     0.490     6     1   1560.052
     0.430     6     2   1264.350
     0.360     6     3   1253.667
     0.490     6     4    988.905
     0.490     6     5   1136.566
     0.400     6     6   1579.670
     0.500     6     7    941.301
     0.350     6     8   1570.994
     0.360     6     9   1518.435
     0.290     6    10   1464.710
     0.450     6    11   1027.307
     0.450     6    12   1342.426
     0.460     6    13   1439.659
     0.400     6    14   2172.914
     0.370     6    15   1911.833
     0.470     6    16   1380.499
     0.390     6    17   1319.956
     0.530     6    18   1577.445
     0.410     6    19    925.391
     0.430     6    20   1169.308
     0.470     6    21   1014.730
     0.440     6    22   1547.179
     0.390     6    23   1016.741
     0.460     6    24   1096.442
     0.400     6    25   1295.665
     0.390     6    26   1382.222
     0.440     6    27   2114.331
     0.370     6    28   1279.427
     0.400     6    29   1459.127
     0.560     6    30   1261.130
     0.480     6    31   1125.406
     0.480     6    32   1517.591
     0.470     6    33   1309.696
     0.390     6    34   1233.357
     0.570     6    35   1302.390
     0.380     6    36   1189.216
     0.360     6    37   1313.928
     0.380     6    38   1509.972
     0.370     6    39   1391.389
     0.430     6    40   2067.191
     0.340     6    41   1694.460
     0.400     6    42   1789.215
     0.400     6    43   1750.961
     0.430     6    44   1697.017
     0.500     6    45    915.741
     0.380     7     1    293.168
     0.420     7     2    473.682
     0.370     7     3    282.601
     0.360     7     4   1171.185
     0.530     7     5    947.270
     0.470     7     6    556.978
     0.500     7     7    437.646
     1.050     7     8    359.845
     0.630     7     9    986.748
     0.400     7    10    864.983
     0.310     7    11    561.168
     0.290     7    12   2480.989
     0.480     7    13   2017.253
     0.410     7    14    901.821
     0.670     7    15    726.408
     0.420     7    16    861.849
     0.350     7    17   2085.799
     0.380     7    18    916.770
     0.420     7    19   2276.700
     0.350     7    20   1732.488
     0.410     7    21    954.638
     0.400     7    22    850.990
     0.400     7    23   1703.871
     0.470     7    24   1761.458
     0.280     7    25   3772.022
     0.380     7    26   2748.628
     0.290     7    27   1180.531
     0.430     7    28    668.946
     0.410     7    29   1291.721
     0.390     7    30   2984.574
     0.330     7    31   1975.437
     0.330     7    32   4201.192
     0.270     7    33   3960.789
     0.230     7    34   4412.138
     0.320     7    35   1906.112
     0.380     7    36   3257.874
     0.380     7    37   3001.024
     0.350     7    38   3643.607
     0.380     7    39    554.623
     0.250     7    40    983.897
     0.250     7    41   2958.042
     0.270     7    42   3688.325
     0.290     7    43   2005.574
     0.370     7    44   3422.325
     0.410     7    45   3860.735
     0.240     8     1   1602.500
     0.360     8     2    432.000
     0.320     8     3   1447.250
     0.300     8     4   1200.500
     0.280     8     5   2736.000
     0.270     8     6   2599.547
     0.350     8     7    967.141
     0.500     8     8    968.000
     0.350     8     9    752.500
     0.370     8    10   1612.000
     0.300     8    11    611.233
     0.330     8    12   2049.091
     0.300     8    13   2224.125
     0.320     8    14   1632.633
     0.350     8    15    681.800
     0.390     8    16   1665.188
     0.310     8    17   1831.429
     0.350     8    18   1354.685
     0.380     8    19   1207.091
     0.260     8    20   2746.000
     0.350     8    21   2130.582
     0.370     8    22   1001.750
     0.340     8    23   1048.000
     0.390     8    24    796.571
     0.330     8    25   1897.973
     0.240     8    26   2742.219
     0.330     8    27   2323.797
     0.340     8    28    421.479
     0.430     8    29   1750.438
     0.410     8    30   1722.082
     0.340     8    31   2756.061
     0.450     8    32   2322.304
     0.490     8    33   1161.636
     0.680     8    34   1529.636
     0.630     8    35   1297.600
     0.440     8    36   4779.494
     0.340     8    37   1908.234
     0.350     8    38   2761.000
     0.370     8    39   2776.800
     0.530     8    40   1402.228
     0.560     8    41   2288.127
     0.320     8    42   2482.228
     0.340     8    43   1220.156
     0.360     8    44   1222.029
     0.540     8    45   1274.800
     0.510     9     1   1049.432
