Building time 0.060000

   Time       cl    pb      cost
     0.490     1     1    340.544
     0.460     1     2    358.103
     0.380     1     3    428.222
     0.360     1     4    379.321
     0.410     1     5    309.878
     0.550     1     6    353.891
     0.450     1     7    333.517
     0.500     1     8    397.353
     0.440     1     9    361.022
     0.370     1    10    359.082
     0.350     1    11    430.694
     0.410     1    12    376.581
     0.420     1    13    358.872
     0.450     1    14    358.906
     0.320     1    15    327.130
     0.350     1    16    366.530
     0.370     1    17    378.216
     0.380     1    18    440.960
     0.400     1    19    376.684
     0.390     1    20    321.202
     0.390     1    21    361.627
     0.350     1    22    390.528
     0.370     1    23    365.324
     0.380     1    24    341.040
     0.360     1    25    360.038
     0.360     1    26    391.634
     0.390     1    27    503.273
     0.350     1    28    440.815
     0.480     1    29    371.549
     0.380     1    30    506.010
     0.370     1    31    350.549
     0.330     1    32    371.881
     0.380     1    33    388.816
     0.450     1    34    353.501
     0.510     1    35    412.913
     0.460     1    36    364.489
     0.390     1    37    351.783
     0.460     1    38    391.954
     0.490     1    39    339.000
     0.440     1    40    348.805
     0.480     1    41    408.327
     0.410     1    42    361.849
     0.330     1    43    408.688
     0.370     1    44    386.670
     0.480     1    45    413.972
     0.440     2     1    468.369
     0.360     2     2    363.212
     0.400     2     3    557.740
     0.340     2     4    340.035
     0.420     2     5    448.563
     0.330     2     6    340.070
     0.370     2     7    339.568
     0.330     2     8    294.343
     0.340     2     9    360.884
     0.340     2    10    693.419
     0.390     2    11    543.785
     0.370     2    12    328.298
     0.340     2    13    563.555
     0.370     2    14    667.037
     0.330     2    15    539.395
     0.330     2    16    440.006
     0.390     2    17    396.277
     0.350     2    18    564.983
     0.280     2    19    554.360
     0.320     2    20    387.138
     0.360     2    21    432.503
     0.330     2    22    497.340
     0.310     2    23    539.419
     0.310     2    24    539.852
     0.300     2    25    639.009
     0.420     2    26    472.465
     0.290     2    27    720.608
     0.280     2    28    716.876
     0.290     2    29    666.793
     0.320     2    30    596.291
     0.390     2    31    514.768
     0.310     2    32    469.838
     0.310     2    33    350.679
     0.340     2    34    297.686
     0.390     2    35    276.638
     0.480     2    36    485.138
     0.530     2    37    539.879
     0.370     2    38    479.771
     0.400     2    39    436.301
     0.340     2    40    341.156
     0.400     2    41    431.146
     0.470     2    42    560.527
     0.450     2    43    355.313
     0.380     2    44    460.203
     0.450     2    45    393.545
     0.510     3     1   1162.438
     0.410     3     2   1543.864
     0.360     3     3   2243.817
     0.440     3     4   1279.768
     0.420     3     5   1325.940
     0.440     3     6    991.634
     0.320     3     7   1607.279
     0.330     3     8    912.898
     0.330     3     9    630.668
     0.340     3    10   1561.226
     0.290     3    11   1984.348
     0.410     3    12    975.265
     0.390     3    13   1119.446
     0.370     3    14   1058.268
     0.320     3    15   1627.176
     0.330     3    16   1069.866
     0.350     3    17   1008.442
     0.350     3    18   1705.910
     0.300     3    19   1232.928
     0.330     3    20   1291.697
     0.350     3    21   1364.730
     0.370     3    22    741.093
     0.370     3    23   1135.233
     0.310     3    24   1289.287
     0.320     3    25   1360.225
     0.410     3    26   1044.122
     0.330     3    27   1893.939
     0.320     3    28   1883.597
     0.320     3    29   1892.186
     0.320     3    30   1902.335
     0.430     3    31    698.832
     0.410     3    32    928.675
     0.310     3    33   1404.232
     0.350     3    34    979.275
     0.380     3    35   1008.783
     0.350     3    36   1082.238
     0.320     3    37   1510.610
     0.440     3    38   1116.383
     0.410     3    39   1080.826
     0.330     3    40   1406.951
     0.330     3    41    571.667
