Building time 2.500000

   Time       cl    pb      cost
    13.740     1     1   1267.022
    13.820     1     2   1253.264
    13.470     1     3   1392.677
    12.710     1     4   1381.371
    13.370     1     5   1326.060
    13.090     1     6   1793.024
    13.170     1     7   1555.935
    14.470     1     8   1505.214
    13.170     1     9   1506.208
    12.380     1    10   1440.360
    14.140     1    11   1586.600
    13.940     1    12   1416.250
    13.460     1    13   1242.140
    14.270     1    14   1681.063
    13.870     1    15   1646.225
    13.750     1    16   1672.458
    13.540     1    17   1580.438
    11.960     1    18   1307.690
    11.970     1    19   1359.020
    13.190     1    20   1469.827
    14.400     1    21   1868.926
    14.020     1    22   1557.293
    14.300     1    23   1484.357
    13.420     1    24   1654.637
    14.230     1    25   1430.979
    14.190     1    26   1394.867
    13.710     1    27   1731.752
    12.680     1    28   1307.150
    14.130     1    29   1252.451
    13.150     1    30   1491.787
    14.170     1    31   1341.627
    12.780     1    32   1495.621
    13.880     1    33   1472.729
    12.710     1    34   1545.718
    13.650     1    35   1310.921
    14.420     1    36   1351.744
    13.240     1    37   1328.075
    13.000     1    38   1385.397
    12.630     1    39   1398.167
    13.340     1    40   1386.737
    14.860     1    41   1592.085
    13.800     1    42   1307.189
    13.500     1    43   1283.211
    11.800     1    44   1348.315
    13.040     1    45   1534.508
    14.990     2     1   2252.618
    15.780     2     2   3110.398
    16.040     2     3   3069.338
    14.770     2     4   2029.950
    14.070     2     5   2381.620
    15.880     2     6   3218.461
    15.590     2     7   2050.964
    14.900     2     8   1876.630
    15.570     2     9   2133.939
    15.140     2    10   2612.259
    16.130     2    11   2987.334
    15.260     2    12   2768.617
    17.040     2    13   2961.319
    16.030     2    14   2530.501
    14.440     2    15   2828.758
    16.870     2    16   2242.435
    16.010     2    17   2764.898
    17.770     2    18   2589.509
    15.600     2    19   3482.648
    16.240     2    20   3518.668
    17.110     2    21   2119.495
    17.730     2    22   3253.688
    16.430     2    23   3067.561
    15.780     2    24   2834.906
    17.650     2    25   2970.792
    17.970     2    26   3097.391
    16.110     2    27   2350.104
    15.440     2    28   3219.780
    16.080     2    29   2804.165
    16.980     2    30   2784.870
    16.690     2    31   1991.333
    16.230     2    32   3674.169
    17.140     2    33   2368.648
    15.410     2    34   1275.407
    17.080     2    35   1775.026
    17.070     2    36   4128.307
    17.110     2    37   2688.782
    14.070     2    38   1533.107
    16.370     2    39   1630.193
    16.270     2    40   3094.239
    15.530     2    41   3066.625
    17.060     2    42   3065.719
    16.440     2    43   2252.233
    15.940     2    44   2001.009
    17.000     2    45   1787.806
    19.930     3     1   7371.188
    16.420     3     2   5506.002
    17.210     3     3   6716.511
    18.630     3     4   8269.227
    18.630     3     5   9725.355
    17.450     3     6   7729.166
    17.770     3     7   9847.906
    19.440     3     8   7797.723
    22.600     3     9   9699.113
    19.080     3    10   6288.701
    19.880     3    11  10519.315
    18.430     3    12   9928.958
    20.190     3    13  10837.920
    19.640     3    14   9166.231
    24.560     3    15   8543.942
    20.880     3    16  10359.237
    20.990     3    17  13018.871
    17.900     3    18   8802.325
    18.440     3    19   5674.830
    19.420     3    20   7165.509
    20.400     3    21   6389.229
    17.620     3    22   5738.543
    19.280     3    23   7153.454
    20.500     3    24   9636.979
    18.030     3    25  12151.285
    18.670     3    26  11760.405
    20.340     3    27   9085.975
    16.920     3    28  14305.338
    19.300     3    29   7127.444
    16.310     3    30   6072.397
    16.960     3    31   4052.043
    17.820     3    32   6181.461
    20.000     3    33   7141.240
    16.990     3    34   7439.034
    17.480     3    35  12520.409
    17.560     3    36   7011.776
    19.350     3    37   6253.074
    16.440     3    38   7334.979
    17.780     3    39  10894.155
    19.180     3    40   7667.839
    17.200     3    41   4828.037
    17.530     3    42   8455.900
    18.290     3    43  10202.630
    16.980     3    44  14623.148
    15.390     3    45   6526.273
    21.320     4     1  24575.182
    21.740     4     2   8569.554
    19.660     4     3  20919.303
    24.640     4     4  18910.533
    15.620     4     5   8545.925
    23.250     4     6  11705.659
    22.370     4     7  11053.506
    19.810     4     8   9342.769
    22.030     4     9  13292.333
    18.070     4    10  22010.964
    21.170     4    11  12435.184
    20.160     4    12  16602.662
    19.350     4    13  21711.905
    19.210     4    14  24036.145
    18.530     4    15  20551.706
    19.640     4    16  20192.636
    17.730     4    17  13546.244
    22.420     4    18  17512.887
    22.320     4    19  17950.351
    24.810     4    20   9723.382
    18.350     4    21  12294.378
    17.780     4    22   7995.300
    18.210     4    23   5722.032
    19.160     4    24  10362.412
    19.490     4    25  14091.984
    17.710     4    26  20010.780
    22.570     4    27  21675.842
    20.310     4    28  19167.790
    24.010     4    29  17434.927
    18.470     4    30  13663.885
    24.550     4    31  16533.489
    18.140     4    32  14887.003
    21.660     4    33  18572.542
    22.710     4    34  19649.322
    19.380     4    35   8166.180
    18.560     4    36   9190.025
    21.240     4    37   8862.765
    19.350     4    38   8593.257
    22.870     4    39   9483.393
    18.570     4    40  11934.500
    17.970     4    41  14428.497
    19.350     4    42   8597.920
    18.230     4    43   8284.187
    18.280     4    44   8046.800
    16.820     4    45  11837.319
    23.490     5     1   3929.054
    21.620     5     2   4273.076
    18.920     5     3   5669.743
    19.780     5     4   4329.546
    21.860     5     5   4359.190
    20.190     5     6   2780.399
    26.890     5     7   2630.356
    24.190     5     8   4487.369
    20.720     5     9   4087.461
    18.640     5    10   5252.976
    23.410     5    11   8476.445
    21.140     5    12   6792.304
    20.850     5    13   6606.140
    24.240     5    14   3692.018
    23.830     5    15   5232.565
    20.200     5    16   4588.425
    19.700     5    17   5413.039
    22.150     5    18   4387.633
    18.360     5    19   3267.920
    18.690     5    20   1708.110
    21.590     5    21   2453.576
    20.220     5    22   3423.070
    26.930     5    23   3270.967
    20.890     5    24   2252.928
    19.420     5    25   2932.448
    22.740     5    26   3349.721
    22.120     5    27   5046.425
    23.190     5    28   3344.564
    20.040     5    29   5433.623
    21.450     5    30   5029.246
    20.770     5    31   2389.019
    21.850     5    32   3658.287
    23.590     5    33   2459.612
    22.250     5    34   4500.090
    20.750     5    35   3342.760
    21.300     5    36   2760.977
    18.450     5    37   2677.625
    19.130     5    38   3813.670
    20.800     5    39   2427.868
    19.840     5    40   2894.459
    21.940     5    41   3093.266
    23.670     5    42   3007.651
    26.190     5    43   4086.921
    24.390     5    44   3371.944
    27.320     5    45   4443.146
    23.760     6     1   6170.810
    29.430     6     2  15051.832
    24.120     6     3  17269.920
    22.390     6     4   7910.968
    19.730     6     5   7867.230
    21.340     6     6  20651.122
    19.590     6     7  11219.743
    21.920     6     8  10838.952
    20.210     6     9  15606.841
    23.310     6    10  10557.772
    21.350     6    11  10324.272
    25.160     6    12   7671.265
    19.670     6    13   6736.603
    22.450     6    14  13401.554
    20.350     6    15   8759.311
    21.140     6    16   8570.333
    21.070     6    17   9776.020
    23.350     6    18  10737.721
    20.320     6    19  13871.228
    19.610     6    20  14030.847
    19.710     6    21  10048.522
    20.050     6    22  16777.200
    20.770     6    23   7891.810
    25.400     6    24   6013.861
    18.360     6    25  13047.834
    20.210     6    26  13929.462
    22.580     6    27  11074.984
    18.890     6    28  11478.665
    18.280     6    29   9125.401
    20.330     6    30   7606.321
    19.410     6    31   7852.061
    23.920     6    32  18095.474
    20.940     6    33   9065.697
    20.790     6    34   9671.414
    20.930     6    35  11901.814
    19.750     6    36  18145.572
    21.440     6    37   9820.805
    20.070     6    38  10962.027
    22.890     6    39  12273.488
    20.880     6    40  19154.845
    22.830     6    41  11401.753
    24.320     6    42   9042.117
    22.410     6    43  11323.452
    24.620     6    44  13669.508
    19.260     6    45   6592.771
    24.000     7     1   6548.061
    25.800     7     2   2367.260
    25.810     7     3   4391.291
    25.230     7     4   4694.733
    23.350     7     5   6715.583
    30.080     7     6   3935.453
    23.200     7     7   6081.243
    25.100     7     8   5202.698
    28.800     7     9   4755.387
    20.640     7    10  12087.707
    18.310     7    11  11375.907
    19.860     7    12   6748.474
    18.350     7    13   9553.576
    21.460     7    14  11136.069
    20.290     7    15   5846.264
    19.450     7    16  11770.222
    20.520     7    17  13034.257
    29.370     7    18   9955.675
    21.120     7    19  11777.261
    22.470     7    20  16225.727
    26.440     7    21   4989.766
    20.900     7    22  16945.617
    24.340     7    23  11633.428
    21.200     7    24   7424.386
    20.080     7    25  16515.449
    20.740     7    26  13115.343
    19.970     7    27  10665.730
    18.850     7    28  19525.101
    20.020     7    29  21111.653
    22.490     7    30  12830.482
    22.040     7    31  15260.911
    16.710     7    32  17866.961
    19.630     7    33  12756.262
    20.760     7    34  24460.230
    17.850     7    35  24887.564
    17.620     7    36  19558.926
    18.620     7    37  17112.098
    19.530     7    38  32364.926
    18.380     7    39  25238.212
    16.110     7    40  29165.572
    23.510     7    41  18598.402
    19.020     7    42   7617.485
    16.740     7    43  31232.411
    16.460     7    44  32181.923
    20.740     7    45  16657.585
    12.820     8     1  14694.261
    23.230     8     2   3306.096
    13.990     8     3  14953.979
    17.520     8     4  10203.759
    43.620     8     5  24428.943
    13.850     8     6  21335.172
    19.310     8     7   9331.850
    39.890     8     8   9084.651
    13.960     8     9   6349.261
    14.700     8    10  14746.724
    14.300     8    11   4797.873
    16.850     8    12  17445.567
    16.570     8    13  18024.109
    17.830     8    14  14135.190
    11.640     8    15   5951.332
    16.990     8    16  16035.364
    14.810     8    17  16728.766
    16.330     8    18  13361.500
    16.920     8    19  10374.968
    29.210     8    20  24506.840
    16.060     8    21  17451.475
    14.320     8    22   9441.321
    25.460     8    23   9307.392
    16.600     8    24   6425.156
    18.650     8    25  16626.164
    13.790     8    26  22129.580
    22.160     8    27  18523.172
    13.040     8    28   3831.095
    13.670     8    29  16015.764
    20.110     8    30  17675.585
    19.890     8    31  25732.912
    15.900     8    32  20170.090
    18.270     8    33  10051.743
    20.600     8    34  13753.332
    18.640     8    35  10953.215
    16.270     8    36  38213.216
    16.460     8    37  15484.748
    32.300     8    38  25375.598
    19.780     8    39  25170.966
    16.820     8    40  11485.617
    13.770     8    41  19299.770
    16.750     8    42  21035.716
    15.660     8    43  11127.263
    15.230     8    44  11519.086
    18.250     8    45  10684.651
    22.390     9     1   7775.595
    17.570     9     2   8977.776
    18.650     9     3   6394.281
    18.110     9     4   7215.388
    20.440     9     5  11289.402
    17.610     9     6   8821.676
    23.000     9     7   7309.290
    17.920     9     8  11766.067
    22.920     9     9   9540.761
    17.110     9    10   7127.627
    19.270     9    11   4064.602
    17.990     9    12   3895.813
    15.450     9    13   5790.891
    15.980     9    14   4567.136
    17.000     9    15   4814.364
    16.760     9    16   9407.443
    19.110     9    17   5834.190
    17.330     9    18   5893.939
    17.730     9    19   6402.383
    19.890     9    20   8042.388
    18.280     9    21   8647.559
    16.770     9    22   6778.993
    19.110     9    23  10898.655
    22.400     9    24   8533.527
    15.160     9    25   4736.493
    19.080     9    26   7432.981
    17.370     9    27   6910.017
    20.880     9    28   4557.976
    16.540     9    29  10719.639
    22.460     9    30   7457.495
    18.090     9    31   5979.272
    16.320     9    32   4693.121
    17.470     9    33   5649.408
    16.490     9    34   8929.889
    21.200     9    35   7338.180
    19.610     9    36   5715.755
    15.240     9    37   6370.258
    16.530     9    38   9252.325
    17.800     9    39   5914.798
    16.590     9    40   6069.723
    21.230     9    41   8452.507
    18.870     9    42   6325.537
    16.550     9    43  12136.058
    23.060     9    44   6272.327
    20.330     9    45  12959.042
    16.770    10     1    468.488
    14.870    10     2    695.113
    19.130    10     3    750.961
    13.670    10     4   1357.376
    16.410    10     5   1343.203
    15.510    10     6    736.203
    17.360    10     7    906.341
    14.340    10     8   1848.943
    19.920    10     9   1526.450
    13.820    10    10    647.989
    15.860    10    11   1505.582
    15.080    10    12   1124.626
    15.490    10    13   1712.018
    15.660    10    14   1425.376
    14.780    10    15   1513.912
    14.290    10    16   2168.617
    17.470    10    17   3101.663
    15.780    10    18    603.806
    13.560    10    19    817.035
    16.540    10    20   1216.459
    15.350    10    21    662.226
    17.200    10    22    699.819
    15.780    10    23   1616.942
    18.000    10    24   1290.494
    14.790    10    25    804.730
    15.700    10    26   1019.611
    16.960    10    27   1672.035
    17.690    10    28   1992.217
    18.860    10    29   1677.073
    19.780    10    30   1944.704
    16.020    10    31    561.480
    15.820    10    32   1100.860
    18.220    10    33   1049.814
    13.690    10    34    848.178
    16.720    10    35    612.417
    17.440    10    36   1775.711
    15.760    10    37   1838.121
    14.430    10    38   1251.332
    15.680    10    39    791.350
    16.400    10    40    968.277
    18.670    10    41   2102.123
    22.810    10    42   3524.501
    19.740    10    43   1975.417
    17.470    10    44   4224.729
    16.820    10    45    646.362
