IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
300,32.484,2469.159667,2.24567281788793,5898.97731113434,300,0,30305.8901918376
180,21.58,1301.279054,0.786272129853906,5832.91105556488,180,0,60148.0128129517
219,25.176,1875.112925,2.37129833045659,5848.02265644073,219,0,48320.1458833029
249,28.419,2274.654003,1.30570608120995,6044.46620845795,249,0,41701.8340356647
117,15.428,795.7316,3.1288323447513,5645.5871181488,117,0,61512.0209525886
183,21.869,1426.554917,2.46645580823734,5833.12846755981,183,0,50150.6275913761
155,19.498,1376.611598,3.76444504906355,5689.24070644379,155,0,39846.4364368348
129,16.58,794.008984,1.78573184672528,5692.76388549805,129,0,53885.9106520857
300,29.74,4251.246649,6.44398414255607,6476.49212837219,300,0,301182.075658243
300,30.623,3215.731123,3.41012600248894,6342.85946846008,300,0,209213.554719355
225,21.137,2252.781106,3.72489531083117,5974.7732667923,225,0,81428.6497081544
141,17.308,1014.006567,2.33816985571788,5622.21015739441,141,0,66332.2979691123
300,29.307,3363.742523,4.45861350773383,6093.23407268524,300,0,135992.478759196
300,28.37,3736.213351,5.9322409561432,6151.94476127625,300,0,96377.2015369283
300,49.898,29490.968381,72.0835491386462,9019.87857913971,300,0,71735.7791773647
300,39.255,3169.768178,1.47444323719294,5998.02177524567,300,0,100573.618898387
300,25.359,2444.802166,1.13495739124008,6255.13898849487,300,0,204180.479138487
72,7.189,266.556166,1.33781686875381,5303.55750465393,72,0,52752.6909891843
83,10.27,360.093145,2.89656275032423,5312.59197235107,83,0,89266.294894908
69,9.364,700.097867,8.36113769978258,5574.38184738159,69,0,44505.0405669283
63,9.064,418.345224,7.2752751480489,5400.82869148254,63,0,39697.3446510693
66,8.82,409.806141,5.98901538540395,5430.9367980957,66,0,73047.4527741094
78,8.282,343.136263,1.37234596715746,5484.92707824707,78,0,68740.425769996
105,11.163,521.706068,1.26706227828425,5517.4414100647,105,0,129005.896600719
62,8.639,305.034236,4.00179488432637,5366.47941684723,62,0,73003.8027863527
54,7.582,240.2865,1.87905361348985,5204.12346935272,54,0,66902.6662279065
57,8.449,271.463017,5.73922234990082,5336.4812078476,57,0,41369.1154397487
54,7.713,236.840043,1.79545426099519,5198.74757385254,54,0,54547.1709023387
63,8.159,243.373428,0.766658928469255,5257.9571647644,63,0,57469.1080276464
93,5.907,439.087573,0.950455023888084,5989.74457168579,93,0,149324.506568768
69,5.431,252.77754,0.797664117332926,5407.00663280487,69,0,126040.827686841
60,7.841,287.755331,2.80148200884002,5317.13331604004,60,0,76997.8157676118
47,7.143,178.074501,1.49831716556683,5108.11671638489,47,0,37088.1250232628
78,7.331,292.441036,0.829382283243058,5436.65669345856,78,0,99107.4644840041
90,6.919,365.315522,0.887599056873665,5520.42882823944,90,0,168517.813239832
45,5.27,145.94878,0.680127951441868,5146.57082080841,45,0,57990.1562484343
60,5.189,230.450333,0.82061795516097,5407.43899059296,60,0,110939.088684091
75,8.839,302.321063,1.77194985886482,5339.03359985352,75,0,62818.3780513466
111,6.563,510.654403,0.978536783357492,5905.26398658752,111,0,229925.105127077
45,6.028,166.384645,1.32467708174397,5172.82557964325,45,0,62824.2534354057
66,7.43,316.626458,1.09620854153952,5574.01553344727,66,0,72256.7490302251
86,6.372,376.825465,0.970810257810116,5839.21034908295,86,0,214749.362905479
63,6.261,257.604701,1.16722165137702,5542.15244293213,63,0,108120.685880062
78,5.653,294.934345,0.904903464248932,5533.4323759079,78,0,174540.750765003
162,9.518,860.604487,1.06983360590861,6062.53192043304,162,0,274148.78646453
