IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
55,8.188,252.076576,1.87600502198085,5296.82581520081,55,0,51964.6124087221
48,6.572,193.4419,1.16624046979898,5222.86511707306,48,0,90452.5399717517
51,6.928,224.404859,2.27193451160551,5253.8290681839,51,0,68491.4285862704
57,7.455,238.389778,1.22484688501297,5294.57909488678,57,0,72038.131578443
53,7.901,248.51212,1.75629490935879,5277.02746009827,53,0,82744.3606361706
38,5.738,142.90454,2.49803167674321,5049.82598686218,38,0,25796.6088781672
48,7.086,178.876873,1.94445677854173,5114.06514263153,48,0,45989.189228119
44,6.423,178.897268,2.34718227299168,5162.6021490097,44,0,55259.4225754707
45,6.277,193.240871,1.0996594398459,5268.25434684753,45,0,60415.7638184449
53,7.368,236.184115,2.46990074644301,5233.29137420654,53,0,39694.8332718722
57,7.825,237.919612,2.22998583284063,5246.32500076294,57,0,40624.6686113637
54,7.672,237.23272,2.91769354235009,5204.11506271362,54,0,32221.7514019848
47,7.026,211.952334,2.79132152716852,5281.94198894501,47,0,62742.2817549725
56,8.244,276.178686,3.20537866307789,5321.68816661835,56,0,41945.159859051
59,8.352,277.032114,2.42440580776053,5252.25443553925,59,0,48191.5998929436
57,7.764,308.823014,2.77143788621453,5318.15115833282,57,0,56434.9198728263
72,10.212,311.412929,2.46371490692707,5137.78280353546,72,0,22934.1652668772
36,5.053,125.451348,1.96432477423139,5059.69266605377,36,0,48358.7743651663
45,6.418,167.923493,1.87304136190685,5101.51018333435,45,0,43092.4208212316
48,7.648,201.211737,1.50927928078273,5198.58401012421,48,0,57897.5685665778
48,6.015,200.241642,2.21198334867066,5232.07395744324,48,0,67869.4061744828
39,5.42,157.454223,3.60570521699535,5126.04472064972,39,0,47141.4479237507
41,6.126,151.162394,1.92909014890716,5113.54768753052,41,0,49399.8362527352
41,6.146,143.562257,1.02469776329341,5122.74445056915,41,0,53681.1180609543
49,7.145,220.381992,3.29160418494431,5247.40567302704,49,0,51362.2808098038
48,6.688,261.485887,1.50054922327968,5525.44278049469,48,0,60834.6650118665
41,5.888,153.407598,1.88177812452319,5120.59036064148,41,0,50488.0398148716
48,6.387,180.947749,1.24837363752098,5201.14123725891,48,0,44311.7126912212
48,7.422,223.055623,2.27346029738518,5190.82427597046,48,0,53690.7935699568
42,6.027,192.433108,2.82514733368935,5174.96248626709,42,0,44084.5849276378
45,6.398,182.717664,1.83458157709033,5250.31399536133,45,0,66545.3730260135
48,6.977,257.931167,5.58527965388503,5325.12947654724,48,0,58707.2179189084
45,6.848,202.223994,2.95638279104364,5150.59294319153,45,0,47827.4328801652
45,7.199,182.75675,1.58046821359094,5164.4901304245,45,0,55718.7538267635
42,6.407,170.860109,2.63294526124313,5141.31187152863,42,0,42748.0458647258
47,6.42,220.737697,3.81870655086588,5252.02953052521,47,0,75195.0663274477
57,8.471,313.590123,4.33701553321445,5231.39827060699,57,0,42071.995322061
51,7.383,235.947978,3.80784575736192,5134.64908218384,51,0,36624.1348416283
57,8.084,250.635925,1.169870916139,5293.08161640167,57,0,80300.9911465957
54,6.616,206.048358,2.59150691610085,5200.00758552551,54,0,41684.4643080997
48,7.192,222.730896,2.07102547704646,5266.14898967743,48,0,54691.310339145
39,5.599,141.055053,1.77399342839297,5111.30133628845,39,0,43633.6283583394
42,5.954,170.179771,2.83927873245346,5071.79764842987,42,0,26686.510785675
45,6.502,173.942278,1.01793379400938,5187.7806520462,45,0,54843.2486048008
47,6.372,223.088629,4.09865620589525,5267.84815311432,47,0,67887.9238043441
