IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
63,9.191,311.478849,0.803916262969179,5452.80290794373,63,0,114451.480169692
72,8.052,315.527392,0.8628184481805,5455.90623950958,72,0,129697.712487038
60,7.75,254.376324,0.752098402454608,5380.52844238281,60,0,125760.577953983
99,8.991,404.493739,0.833546158595896,5487.25951290131,99,0,101379.428353474
101,7.435,465.640737,0.713474714868782,6032.13774967194,101,0,178482.54254161
62,7.44,266.635047,0.831385622091471,5477.82109546661,62,0,121177.741378356
57,7.26,226.158055,0.929666192639991,5344.30436992645,57,0,83164.1695309797
71,8.625,335.181141,1.38128164813473,5574.62345409393,71,0,122360.617851576
66,7.806,292.529126,0.832897997644568,5479.71953487396,66,0,111387.440039182
56,7.125,249.962057,1.34432529872025,5367.04875469208,56,0,87495.2697807847
44,6.853,194.803963,2.39712866188587,5223.29864025116,44,0,61956.9075083149
47,7.042,252.245565,3.98927941786504,5279.51195335388,47,0,64655.8302614766
78,10.489,515.184458,1.62263294600626,5832.138256073,78,0,106075.49013208
95,12.388,470.559261,3.22124221610848,5358.85578632355,95,0,53684.8143383757
52,7.311,243.587254,2.01901018819614,5327.29639148712,52,0,60453.3178944043
63,8.006,278.29669,0.83488867127899,5397.29057502747,63,0,70189.2771258461
51,7.654,205.433721,2.24507457277998,5091.65448093414,51,0,33800.1903129821
86,6.801,395.925368,0.83672885237069,5914.55388355255,86,0,201062.929832026
45,6.037,161.986234,0.761344753680958,5179.30228424072,45,0,48963.1229243779
68,8.542,360.488513,1.02155902526129,5578.92885398865,68,0,83935.5660930802
63,4.357,240.032632,0.922076749408758,5627.4339056015,63,0,144715.547249162
53,6.431,187.629106,0.871757109208117,5207.80720043182,53,0,96265.4149173553
63,8.459,248.127763,0.89758967567516,5345.05198764801,63,0,90937.6673770923
61,6.307,221.214103,0.899148242008697,5339.26003837585,61,0,105748.61175371
76,7.81,319.018465,0.852264599862679,5413.44761943817,76,0,103142.531089083
51,7.968,328.136636,8.08501591942897,5521.31695747375,51,0,100574.159310065
51,7.531,199.597565,1.09243132771971,5189.55007076263,51,0,75732.2378716326
54,7.12,245.883805,1.3071178800637,5377.22578430176,54,0,105689.412303523
69,8.963,350.604801,0.907352320624809,5530.46307754517,69,0,117616.558828519
49,7.032,221.908508,2.75559370351121,5242.78652095795,49,0,71194.8052710616
66,8.83,398.863408,1.1003269711245,5726.05589199066,66,0,86005.1019821992
56,7.553,355.603633,6.67450370241456,5534.21450138092,56,0,66937.4157902351
52,7.895,236.178486,3.13886393924512,5224.65015125275,52,0,50403.783939789
54,6.718,208.650966,0.903636197837199,5296.90547180176,54,0,80105.6737789988
59,8.732,269.206916,1.25771535035856,5321.30436706543,59,0,67111.686021497
66,8.361,295.40664,3.32878031307217,5360.31549358368,66,0,84678.7197619735
84,6.269,344.126426,1.33363734813663,5517.7281999588,84,0,136092.767867021
86,8.92,368.105897,1.47902506460749,5492.87342357635,86,0,143349.212426609
78,8.33,322.075408,1.36247529538259,5427.97277545929,78,0,124096.06597292
53,6.63,264.785048,1.41249767556073,5435.23696708679,53,0,92903.7135241063
65,7.929,345.419432,1.32436119640677,5601.88554286957,65,0,103718.215650932
57,8.015,276.846359,3.82362959404562,5295.6495256424,57,0,65971.5705807598
72,9.428,308.208924,1.12336499537496,5353.28558158875,72,0,68104.5853274088
48,7.075,202.700772,1.20498186937366,5263.14295291901,48,0,60196.6401781982
47,6.791,196.351198,1.87826092009651,5222.68697929382,47,0,63351.0881103811
