IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
96,9.393,3442.307677,1.59349492022696,70540.8810033798,96,0,415813.766243909
72,6.322,2417.439838,1.61468325651207,70269.5879449844,72,0,357096.052835289
78,6.806,4826.321104,3.34801696808077,70829.9998531342,78,0,414190.836161978
111,8.27,4355.295789,2.96657373724122,71478.2202863693,111,0,416570.844267878
92,6.962,3953.423656,2.01650030134158,70785.284529686,92,0,353660.32922504
57,5.43,2422.506079,2.10385562892014,70066.7880458832,57,0,213195.268883921
183,11.936,12911.339301,1.64104719933373,76893.555150032,183,0,589309.448706657
207,12.873,18172.155455,2.62871988215805,75633.8508310318,207,0,583788.727954829
84,6.685,3198.778992,2.55583229031764,71298.3498754501,84,0,441794.880428672
108,8.076,3375.086596,1.22101464764775,70967.7788600922,108,0,618467.945927844
147,11.87,5038.064431,1.23162411253018,70693.9300384521,147,0,590093.897560195
92,6.857,5188.367526,3.40093619102747,71257.7205448151,92,0,318043.607192883
102,7.91,4393.26842,2.12209902846209,71792.7641220093,102,0,403905.573669715
90,8.297,2778.820611,1.10054511452917,70155.0652980804,90,0,417030.832592793
83,6.811,2487.099861,2.00750358315305,70640.1456480026,83,0,366987.479845976
66,6.211,5092.424279,3.72879408061298,71756.6995534897,66,0,275471.580141503
102,8.785,4902.293409,3.31684486643757,71630.5526189804,102,0,450802.87095889
117,10.16,4441.633586,1.10320618848298,71216.2666730881,117,0,651792.939399928
96,6.819,3266.200327,1.15419550767243,72070.5146427155,96,0,614418.888375427
101,7.713,3066.227621,1.05889393117449,71242.2050294876,101,0,510401.218655816
71,5.214,2019.268536,1.61966305546509,70062.4054946899,71,0,359840.310740428
87,6.45,3260.508879,1.8607619342175,71755.9768218994,87,0,577902.757563276
222,16.135,11498.601472,1.12890839014662,76554.0811796188,222,0,812467.830984694
117,10.217,7867.651754,3.49593835188639,72273.3202152252,117,0,496986.937403471
71,4.887,1814.431042,1.31045801514376,69882.7061090469,71,0,513621.439995718
95,7.502,3226.444122,1.82092987549018,71013.1510190964,95,0,486308.169219401
75,6.841,3788.603252,3.60553290410796,71363.5700683594,75,0,367108.325107257
132,7.342,4338.565098,0.912340685920978,73143.072183609,132,0,887592.675160665
99,7.189,3494.21475,2.24425087700936,70658.6673231125,99,0,533642.572466991
86,6.943,2222.112339,1.2437521222655,69932.4829864502,86,0,440642.035159936
102,7.977,3310.032559,1.77711963995529,70115.6980819702,102,0,355015.83314938
68,5.817,4723.775775,3.8545039461994,71314.956489563,68,0,336874.751722532
105,8.425,3574.360839,1.67758256614882,71266.328540802,105,0,507044.611156912
135,10.3,5545.116157,1.31789563000016,72786.1528892517,135,0,438678.867076519
162,11.493,10330.744461,3.57512889903795,72025.1620321274,162,0,472307.119962037
111,7.749,5477.862791,2.4671429100731,71125.9412603378,111,0,311667.582979441
108,9.202,3213.515551,0.879918582191644,71348.5714960098,108,0,540603.892555116
123,8.484,5884.127518,2.49336282605627,71884.3591070175,123,0,473638.48404247
77,6.855,2598.941504,2.0365551422169,70189.5766878128,77,0,319259.628853993
120,8.149,4476.718218,1.94956586539081,72669.7696037292,120,0,611678.012734909
132,9.718,4367.039958,1.15694901398137,72389.7814273834,132,0,582490.702383812
81,5.972,2929.23061,2.40619138531419,71127.9926729202,81,0,381454.696022814
98,9.974,3935.017752,1.54979229737353,71256.6952896118,98,0,541235.841495705
126,9.749,4210.977606,1.21946546274969,71526.6384420395,126,0,644067.225327957
99,7.526,3873.037942,2.91233401216524,71357.7164964676,99,0,468963.223237369
