IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
68,7.679,291.897835,1.21800543441982,5425.31023788452,68,0,24290.3359894708
75,10.35,449.611372,6.34322938520369,5726.18686103821,75,0,27871.8185023663
116,12.361,712.131885,2.91315194561527,5810.13331031799,116,0,27336.065915249
96,12.054,721.832905,1.16715981533224,5995.56847476959,96,0,31732.2506526072
75,8.655,342.633725,1.16122355503319,5476.71220302582,75,0,18821.0057791435
72,9.941,344.651646,1.90462617056378,5417.18371677399,72,0,32339.3347840172
60,8.158,268.447279,1.4043129672719,5333.2076253891,60,0,15598.8414200794
62,8.853,289.911972,3.26361480703578,5329.57699203491,62,0,12133.2272801236
92,14.421,606.224209,2.8334765744202,5595.76310443878,92,0,23061.8083548561
95,10.593,560.636071,0.729824016106576,5813.49531650543,95,0,36694.0256768705
99,11.757,674.108023,2.72494463066448,5906.18036365509,99,0,37139.7250049861
83,11.044,472.519588,2.89305150599825,5602.07848739624,83,0,32915.7995224093
88,8.655,440.685503,1.20029797523459,5730.30194187164,88,0,30190.1876051471
84,11.122,518.885824,2.75424672075259,5545.14432430267,84,0,23047.4599315154
65,8.758,281.480806,1.34016663845552,5269.81175136566,65,0,18478.2617539487
69,8.963,503.665432,6.38228220004005,5477.8291759491,69,0,12247.9389924687
153,9.835,949.245967,0.903243576203464,6240.03272438049,153,0,40444.6273852351
99,13.36,798.912314,2.84044020707774,5936.38664340973,99,0,23122.0890478543
59,9.044,364.441692,2.94692485624237,5626.43224143982,59,0,21634.4949129574
66,9.255,304.384728,2.4081496330962,5301.35814476013,66,0,22926.4056550221
98,11.987,579.155852,1.38473329145369,5714.85319805145,98,0,56335.3588120909
90,11.594,416.38226,1.20508170106042,5378.51033210754,90,0,34068.5675277034
61,9.473,316.098985,5.00297409025023,5304.77928924561,61,0,20824.2515845535
92,7.645,470.055935,1.67834647734208,5750.12580013275,92,0,27674.3279241154
74,8.032,321.314811,1.29297307107301,5431.98444843292,74,0,20662.0696836784
76,10.083,422.862925,3.07151703635185,5513.46360206604,76,0,24767.8780917271
77,10.851,360.013941,2.82540659806988,5304.35790538788,77,0,15873.7421721594
90,8.507,415.415297,0.868406787601083,5612.51577568054,90,0,26888.5278202798
138,15.806,881.423454,1.98152115478143,5688.40769481659,138,0,28110.4285554033
110,10.407,504.328592,0.652803124761596,5610.03723239899,110,0,38568.6511849929
72,9.18,334.784331,1.23224262497139,5449.30146217346,72,0,31798.8626453404
83,8.953,365.563371,1.52326540209223,5514.2705450058,83,0,42487.5950323155
72,9.009,312.302486,1.42069430405096,5317.16164493561,72,0,25884.58468689
84,9.123,448.970335,1.34860092596125,5750.27887535095,84,0,23102.0332980096
85,9.96,406.910006,0.652803124761596,5556.63265037537,85,0,32102.1363599679
90,6.744,488.049582,1.40557799864587,5988.64982223511,90,0,41096.5923935074
74,5.904,265.354726,1.38680591647276,5398.11763954163,74,0,28581.9165146824
55,7.757,237.325545,1.31177718878738,5263.41331291199,55,0,13599.8579172825
66,10.351,394.058979,3.12890908104783,5507.17370414734,66,0,16839.2360293441
60,7.303,254.384976,1.325076408491,5355.56999206543,60,0,20418.5040299571
65,9.052,288.196333,2.12996044281164,5313.77947711945,65,0,14888.8448272684
117,9.152,661.493399,1.30576866226732,6081.1228017807,117,0,35486.7719677669
60,7.737,284.993206,1.2701019296422,5360.76151180267,60,0,10752.8172363976
120,13.459,768.483896,2.58564739209834,5893.05875301361,120,0,31613.8241228038
114,13.211,939.234801,1.00066440222574,6122.14795970917,114,0,24898.9253196868
