IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
41,6.478,1463.828058,1.53766191280188,69096.9597501755,41,0,186082.403479405
50,7.282,1655.541126,1.22982007509832,69052.6655759811,50,0,310134.217330211
51,8.332,1442.896522,1.17334469772919,68772.0020742416,51,0,277503.752646152
57,8.041,2294.359311,1.5741981177945,69238.7531175613,57,0,218061.903798014
48,7.468,1394.228854,1.54071343778729,68997.745349884,48,0,209686.607933966
93,12.382,3478.636924,1.50259014364619,69044.1957712173,93,0,159241.89512705
39,6.638,1591.770432,1.82289507583443,69151.3157281876,39,0,163842.088403885
57,8.693,2177.608677,1.59147351542294,69171.8989191055,57,0,156680.007687809
48,7.645,1678.450602,1.4815819689641,68880.0637617111,48,0,159131.255312188
57,6.765,1809.582313,1.11070377959802,69175.4381389618,57,0,332269.753378385
53,7.474,1617.443297,1.59446362062175,69140.6157484055,53,0,324931.499519849
53,8.367,2378.117206,1.75369355593322,69172.7733812332,53,0,233258.080717875
93,12.926,3162.525915,1.77022046102953,69504.4742517471,93,0,245826.306024099
45,7.026,1172.530762,1.16176103773262,68891.7492780685,45,0,246212.299914815
42,6.896,1390.773356,1.69366430584715,69110.5315856934,42,0,201961.135594214
60,8.348,2231.260722,1.55544841246047,69073.3745584488,60,0,229323.273129983
41,6.751,1418.598138,1.605374037802,69060.4217758179,41,0,142890.610738482
108,14.538,4813.733471,1.62132562715646,69559.6818628311,108,0,218551.040675406
57,8.279,2025.399384,1.29179990398732,69750.1439981461,57,0,365280.182068236
54,8.111,1745.876582,1.22087811784159,68409.2421836853,54,0,167759.120774844
54,7.17,1533.4489,1.430912367936,68826.5951576233,54,0,238127.157369429
50,7.434,1828.412542,1.87892677789896,69416.0947256088,50,0,276939.663866288
48,6.514,1293.610728,1.42124403672079,69007.3031997681,48,0,291339.910034559
47,7.208,1974.017496,1.98763425890384,69500.2647304535,47,0,254342.77135814
51,7.349,1399.709703,1.31877296904444,69003.4937591553,51,0,294860.558145273
39,6.435,1141.411519,1.29810276616763,68739.8062410355,39,0,153683.654510005
48,7.328,1349.260364,1.30950109579977,68815.5398406982,48,0,170930.115165556
54,8.416,1995.954954,1.88154803842021,69487.3748493195,54,0,225016.111031667
74,10.895,3036.572128,2.02416892723767,69571.4917669296,74,0,219325.737852864
42,7.028,1305.83902,1.6023140844759,68921.9320774078,42,0,231786.322842591
45,6.741,1311.761465,1.53145688456521,69070.2385911942,45,0,235145.174943059
39,6.514,1104.430072,1.14015165693616,68484.3785886765,39,0,194710.677647802
60,8.769,2317.838106,1.7358660321412,69177.7273368835,60,0,226523.987102053
45,6.654,1210.690176,1.30566592139149,68768.2082948685,45,0,207855.545554343
45,7.01,1316.479491,1.44271577014106,68646.6938896179,45,0,189551.302248618
57,8.289,1210.078145,1.07305279849372,68440.3911628723,57,0,119054.143374961
42,6.977,1248.749152,1.58450784107999,68871.8420724869,42,0,185542.912029789
57,8.414,1735.291666,1.39518048741193,68931.912352562,57,0,157402.608370788
42,6.709,1229.005661,1.52058278841115,69040.4698190689,42,0,159407.312551422
42,6.607,1268.542028,1.36563831510194,68704.7328147888,42,0,155791.130220281
45,7.241,1222.413745,1.36557838540872,68897.4392595291,45,0,134786.080884638
48,7.148,1607.450703,1.5819734716291,69058.7233600616,48,0,140838.701445962
42,6.896,1212.305963,1.49078194520307,68605.3975372314,42,0,150552.805994878
63,8.64,1799.199609,1.4049827873353,68799.9343690872,63,0,157310.911659754
42,6.593,1306.527176,1.43831785265384,68597.4906196594,42,0,166504.628619363
