IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
17,2.3,3.271454,1.99232336541982,303.654996871948,17,0,2864.23067246824
24,2.554,5.340723,2.74883155738955,313.117697715759,24,0,3996.61369182744
17,2.33,3.340139,2.32130836969124,301.595365524292,17,0,3399.57200312968
18,2.31,2.909723,1.70328756178301,299.559150695801,18,0,2326.61411690086
17,2.112,3.360244,1.86456219871247,304.360389709473,17,0,2951.55847893896
18,1.902,4.017605,2.10755869386136,307.592671394348,18,0,4012.1168988168
17,2.188,4.061244,1.78017070417379,300.528836250305,17,0,2545.82181193724
17,2.239,3.022929,1.79937063323774,300.552901268005,17,0,2179.05471658336
22,2.38,4.376115,2.05000657874664,307.528344154358,22,0,2632.81722931054
15,1.887,3.139852,2.1625245987918,301.778293609619,15,0,3311.13450225422
16,1.759,3.461244,2.03457274377593,304.58095741272,16,0,3693.50167170538
18,2.049,4.616858,11.4188807168355,347.690078735352,17,1,3469.74685125215
20,2.226,4.919519,2.72718843437271,313.550992965698,20,0,3766.15954549097
17,2.019,3.340481,1.87418004027337,306.843564033508,17,0,3260.91057931992
15,1.85,3.091878,2.40587863451916,303.00412940979,15,0,3395.88565242802
18,2.065,3.569,2.01332291539541,305.774165153503,18,0,2800.62661101756
17,2.089,3.485241,1.97203889660117,304.026090621948,17,0,3307.30511724064
17,2.103,3.305137,2.4134346587442,302.403051376343,17,0,3077.38137063469
18,1.841,4.263522,3.29621426501098,310.366621017456,18,0,4557.74141214371
21,2.229,6.079147,2.45290713860752,314.864532470703,21,0,4648.25353777066
15,2.109,3.342508,1.91366443815597,299.990961074829,15,0,2526.40029967231
17,2.145,4.093165,3.00434197278496,305.43089389801,17,0,3935.38289560723
21,2.338,5.047711,2.06722811660971,310.382900238037,21,0,4034.43759992422
15,1.778,3.207894,2.11047860858555,305.121006011963,15,0,3560.83164954183
21,2.8,4.811214,2.09115949932878,305.009344100952,21,0,3260.46772968096
16,2.179,3.396033,2.49375019068831,302.941086769104,16,0,3522.89847844382
14,1.774,2.815969,1.74590639873688,303.909557342529,14,0,2694.13267186204
20,2.345,4.461846,2.05668066954479,305.36043548584,20,0,3705.34880272651
18,2.165,3.745029,1.78092153938858,304.379055023193,18,0,3200.51256188196
18,2.356,4.066989,2.72406591332072,304.409909248352,18,0,3246.44918467315
14,1.892,2.273239,1.70328756178301,298.27220916748,14,0,2331.44274186981
24,2.556,6.056972,2.95452465218453,313.89414691925,24,0,4551.644875425
20,2.411,3.72764,2.00221532142421,301.988973617554,20,0,2898.84920762127
12,1.71,2.01047,1.70328756178301,297.742346763611,12,0,1589.75094331844
14,1.908,2.42704,2.13426697507322,299.437400817871,14,0,2197.26048916528
21,2.389,5.132903,2.30197734241518,310.454545021057,21,0,5035.88456632678
21,2.461,4.072709,1.96954803057115,306.278972625732,21,0,3229.00732951848
16,2.09,2.612036,1.70328756178301,299.399260520935,16,0,1874.20674822459
15,2.168,2.858727,2.05577490007933,299.431365966797,15,0,2029.03457836101
28,3.235,5.860772,2.61543316756163,308.24684715271,28,0,3765.05307580567
18,2.126,4.005848,2.79875614016353,305.625658035278,18,0,3703.74984409833
20,2.029,4.864174,2.80370211816573,314.812752723694,20,0,3823.0558812669
18,2.089,4.454354,8.36482868562363,324.119663238525,17,1,2835.66949387463
17,2.034,2.964792,2.1505350713937,300.033858299255,17,0,2415.25298085108
18,2.385,3.568466,2.09528313400049,303.047572135925,18,0,2197.15953536832
