IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
26,4.318,309.281793,0.178900332094132,66241.7604217529,26,0,29199.078074379
60,8.125,572.647325,0.182669802697331,66310.6850719452,60,0,31158.5499277434
39,5.776,377.273291,0.217477732193503,66327.0454120636,39,0,30125.4485397868
38,5.289,408.781324,0.18962909757799,66331.8479471207,38,0,31090.4328469786
36,5.546,363.536809,0.220183229556276,66293.1895503998,36,0,27437.6012380441
24,4.624,262.603949,0.176306684865873,66238.7293615341,24,0,27186.3445706831
20,4.275,258.204052,0.736632226982706,66623.8291883469,19,1,27311.0045026819
24,4.075,274.241025,0.727052742585415,66616.5673265457,23,1,26666.3020169901
48,6.417,483.763623,0.742473951826592,66639.5931787491,47,1,26891.4986389205
24,3.989,267.321284,0.203025549305044,66258.0993337631,24,0,27157.0196362861
57,7.787,602.243872,0.175777096364697,66290.1790237427,57,0,29444.1079485655
41,5.791,452.705988,0.178056194193023,66265.2399625778,41,0,28061.4279598924
18,4.324,194.884081,0.17870545581897,66242.7332859039,18,0,27158.4885299613
26,4.597,330.524639,0.243413133471479,66316.7499322891,26,0,30724.3919802903
35,5.698,391.857151,0.273979791547261,66335.6663265228,35,0,31221.7804264302
24,4.808,336.815659,0.70206769492746,66598.6281833649,23,1,26162.8943525954
27,4.622,371.257939,0.307889846649722,66391.0260305405,27,0,32593.9848756845
60,8.359,719.336651,0.866013030747421,66784.0976448059,58,2,33188.2461741497
29,4.743,356.597718,0.7473585244994,66677.0333185196,28,1,31926.8073128206
24,4.079,254.430611,0.21609799885227,66292.0728998184,24,0,30076.3417516688
51,7.116,631.178454,0.352101941743667,66420.6273488998,51,0,31307.2902507458
33,4.907,376.61295,0.22514212063653,66357.6378211975,33,0,33272.0673474184
23,4.3,280.989453,0.268536946075666,66311.3986206055,23,0,31134.7723825804
30,4.664,419.708106,0.243637066567597,66339.3060493469,30,0,33755.4893220419
30,4.361,368.157192,0.729964617881645,66636.7091035843,29,1,28464.1209183185
21,3.676,252.201298,0.192769748773832,66268.2568597794,21,0,26934.6648481797
71,9.575,845.933208,0.412585064960919,66496.7397994995,71,0,36805.9200297926
35,5.131,410.294524,0.205585669432201,66273.2797737122,35,0,28041.4897678357
45,6.618,522.409166,0.226291448288514,66327.4841003418,45,0,30407.8947788765
42,6.253,474.493097,0.202570465472987,66304.8936281204,42,0,29736.2289774086
24,4.103,326.596901,0.730080798600051,66645.913983345,23,1,26322.5207128601
29,4.817,387.314395,0.287035105020589,66388.9772224426,29,0,35125.2370845759
24,6.2,416.740533,0.247731191266479,66293.4381008148,24,0,30099.1823289295
32,4.779,384.65787,0.257647855856949,66302.3287858963,32,0,28635.6991291792
24,5.424,292.99913,0.239878631968511,66306.4174032211,24,0,30159.7373931733
27,4.216,294.945407,0.30778959130434,66355.4260149002,27,0,32779.0042842369
21,4.203,277.302815,0.211332447388379,66242.0871124268,21,0,28996.6956391354
21,3.896,210.7171,0.181982310863043,66243.6197118759,21,0,27023.6144083744
33,5.013,427.754679,0.178646690261203,66280.1812953949,33,0,27720.1271235588
44,6.023,509.151973,0.199985339716258,66305.6472063065,44,0,32474.5236596932
27,5.215,326.896081,0.282105736415474,66296.7498826981,27,0,29635.9453771064
21,3.795,253.649438,0.211526671747686,66298.4802246094,21,0,32062.6606795694
24,4.962,321.876312,0.231082843559506,66271.3105344772,24,0,29233.437300571
21,4.407,262.903066,0.243549057927201,66261.9776992798,21,0,28406.0333908664
23,3.75,334.346997,0.773666076599621,66664.6161403656,22,1,28972.5795796514
