IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
83,9.297,69.122208,2.41864283317061,399.275450706482,83,0,19200.0017806775
15,3.392,4.361444,1.70328756178301,297.785387992859,15,0,3408.00011143795
60,5.692,51.816668,4.24760590828655,402.035880088806,60,0,20675.9999559148
300,22.807,588.527886,2.92104693602026,577.679702758789,300,0,13896.0187007995
219,26.458,381.836795,6.92862393595924,527.394614219666,219,0,32768.0003184647
99,9.365,102.235304,2.56022890224555,474.176845550537,99,0,26616.8049981994
71,5.96,33.258671,2.86825011059922,363.994117736816,71,0,12431.3792393047
30,8.539,19.491226,4.71823657172931,321.052447319031,26,4,10944.0000442155
24,2.889,7.046754,1.86743444135953,314.671688079834,24,0,8194.00009077515
55,8.29,30.055293,2.52765695554674,345.338620185852,55,0,19200.0005974717
12,1.028,1.924817,1.70328756178301,298.188429832458,12,0,5037.81069354792
37,2.358,14.599163,2.61239407264462,349.728781700134,37,0,21288.9750228404
36,3.113,12.638119,2.28610254073102,332.861284255981,36,0,19873.2501974867
32,3.227,11.79583,3.96891494538687,325.861534118652,32,0,18685.9332016391
18,2.931,4.516437,1.74672874206737,304.312461853027,18,0,7088.47985962195
36,5.495,14.894075,2.12961894755309,326.032964706421,36,0,19331.3751703261
42,5.895,18.483017,2.09777400003051,331.67604637146,42,0,21149.9997974374
33,4.159,15.660392,2.63555078411032,337.679142951965,33,0,18250.9056603666
33,7.421,45.126163,2.21638212792897,394.51580619812,33,0,12531.2731539566
123,45.598,425.819716,12.9144729565841,453.584460258484,123,0,32768.0003313213
65,8.42,66.524411,2.73094261044667,424.538969993591,65,0,21663.9202579643
29,2.841,9.993199,2.34218873947401,329.973357200623,29,0,12461.1253515072
25,6.217,14.855199,8.49722596183183,329.828966140747,21,4,10988.0002020769
15,1.384,2.93455,1.87469251510251,304.232154846191,15,0,7931.55632008024
31,1.762,9.676129,2.54556973852819,349.256086349487,31,0,21098.4372180777
25,2.844,9.86466,2.29530325161704,331.432271003723,25,0,24242.3612031869
24,1.754,5.937486,2.25870301440078,326.449902534485,24,0,22526.8144754919
17,3.197,4.008519,1.8422635846351,307.215392112732,17,0,4731.97948062438
23,2.838,8.758778,2.20231886517574,330.739001274109,23,0,18652.3477936523
66,8.571,24.142043,2.1449812744081,336.465628623962,66,0,23340.764807535
63,4.367,23.97977,2.17006870499756,367.510804176331,63,0,34104.9444630699
48,4.274,16.601716,3.14415225698682,336.041582107544,48,0,25366.4798250806
19,1.854,6.27091,1.92725098013791,312.432936668396,19,0,12616.510769096
19,1.726,5.699431,2.06843183655724,326.70207118988,19,0,15523.3590198221
29,3.367,9.127164,2.25024122071028,317.294186592102,29,0,13827.9314636744
50,4.213,20.070946,2.52366441908714,344.474498748779,50,0,43453.7777645696
29,2.065,8.875697,2.71574713586161,346.352084159851,29,0,17647.8753879693
76,39.691,140.375923,7.03058259092019,353.093328475952,76,0,32767.9999578634
54,3.431,17.563845,2.51600113268855,344.786895751953,54,0,34016.002307666
39,4.065,17.141606,2.38352043034537,348.334765434265,39,0,14260.9969281964
46,4.658,19.882225,2.23608261380278,353.369876861572,46,0,23714.6006220424
32,4.158,11.280454,2.11250467186356,325.189407348633,32,0,26555.1941668894
21,2.325,5.990826,2.27168173739932,314.201541900635,21,0,13234.1891025455
37,7.132,17.393564,2.20422574826092,324.925183296204,37,0,15337.8890934098
19,1.857,4.690055,2.00530208841836,310.245852470398,19,0,12733.333682507
