IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
31,2.755,1.384015,22.1038490853659,33.6392278671265,29,2,300.018690412887
54,2.142,2.208425,20.7008384146341,33.5268106460571,36,18,725.550614237674
46,3.325,2.300192,22.2681021341463,34.8510780334473,37,9,612.964874936103
39,3.148,1.952179,21.4256859756098,34.260570526123,37,2,737.728362515319
48,2.803,2.21825,23.2682926829268,34.026517868042,33,15,794.156899257821
42,2.28,1.851519,21.7393292682927,34.159740447998,31,11,666.04283608114
36,2.861,1.956003,23.7059832317073,35.8192272186279,32,4,688.821281542278
39,2.014,1.751788,23.9615091463415,34.9768095016479,32,7,613.85011721385
36,3.888,1.890889,8.40758384146342,33.5023136138916,36,0,512.352768040042
48,1.803,1.920207,17.1381478658537,33.8031883239746,35,13,790.168157643459
54,3.588,2.519824,17.8729039634146,34.1453342437744,40,14,953.952713830891
54,2.735,2.323524,11.0424923780488,34.4797201156616,40,14,688.458077767877
51,3.123,2.294564,15.5032393292683,34.1943912506104,37,14,999.640376339252
51,3.072,2.259226,11.7381859756098,34.0617933273315,40,11,801.437650351403
51,3.426,2.405967,14.7137957317073,34.6727199554443,44,7,965.588938426692
36,2.715,1.531294,14.8833841463415,32.7971076965332,32,4,569.812864697204
39,2.614,1.77638,21.577743902439,33.5521402359009,29,10,520.130786697114
39,2.957,1.614172,25.3469893292683,34.4915962219238,32,7,278.26342990485
51,3.412,2.398818,19.7210365853659,34.0053300857544,41,10,463.333786924563
44,3.086,2.034478,23.3201219512195,34.6087999343872,37,7,324.201751552966
36,2.375,1.602729,22.1709222560976,34.3861932754517,31,5,499.287344976763
45,2.949,2.28926,25.9517911585366,36.7853937149048,34,11,473.980669962771
48,3.846,2.380358,17.3052591463415,34.0594606399536,44,4,523.917401058343
64,3.856,3.020751,25.9544588414634,36.7524785995483,46,18,578.37490918823
41,2.827,1.826541,15.8549923780488,33.0104417800903,33,8,536.899735520284
51,3.069,2.09282,23.6190929878049,33.7682733535767,35,16,666.684711730815
54,3.552,2.34093,12.3077362804878,34.0539703369141,44,10,607.948353668389
51,2.937,2.449666,32.163300304878,38.3800210952759,34,17,746.18894622019
39,2.21,1.50055,17.8894817073171,32.0860223770142,28,11,588.864268213779
39,3.44,1.771774,19.5331554878049,33.3903827667236,34,5,660.324154666276
28,1.869,1.089161,22.8580411585366,33.8339443206787,22,6,221.080787787787
51,4.135,2.409252,12.1451981707317,33.5737447738647,48,3,533.471640593477
300,2.739,7.302795,19.5110518292683,33.0209197998047,32,268,539.338505131018
53,5.78,2.601635,8.40758384146342,34.3313436508179,53,0,466.296834029996
36,3.346,1.763974,19.2244664634146,32.6241235733032,31,5,438.409286340175
57,3.245,2.300192,13.3025914634146,33.2829694747925,43,14,608.407431192343
53,4.399,2.640736,17.7639100609756,33.5405445098877,43,10,1173.23065735144
39,3.285,1.792083,8.40758384146342,33.1470823287964,36,3,579.504701609701
48,3.175,2.153234,19.3885289634146,33.3887033462524,35,13,1166.55062700725
28,2.649,1.132406,19.3858612804878,32.6003856658936,26,2,189.614919763837
39,2.922,1.990753,21.6926448170732,34.5947732925415,33,6,822.770379617202
45,2.851,2.238572,21.8881478658537,34.1088953018188,36,9,783.589645173907
54,2.989,2.33096,20.1316692073171,34.2813091278076,38,16,840.654071266338
45,4.225,2.534158,23.1122332317073,36.04847240448,43,2,1605.80224358595
33,2.774,1.429066,22.5099085365854,33.5068645477295,28,5,268.09575091594
