IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
57,4.386,12.761112,9.26210060333781,340.83439540863,34,23,2252.62301399904
62,5.803,16.514699,8.46628678377471,339.221422195435,47,15,3110.40350913336
60,6.65,16.140885,8.02342510525995,337.62310218811,51,9,3069.34256909829
60,5.563,13.210609,7.85241344657676,334.243240356445,43,17,2029.95286502805
70,5.315,15.503499,10.3633970931474,344.949924468994,46,24,2381.62536985901
69,7.928,17.597953,2.24394850652917,330.927802085876,65,4,3218.46936702524
57,4.536,11.891835,8.36553184876129,334.936346054077,36,21,2050.96675136566
48,4.101,10.477083,9.68818171070295,341.83708190918,31,17,1876.63304539254
72,5.386,17.354923,9.36914825253234,343.452056884766,42,30,2133.9435936755
80,5.801,16.514672,8.15637061035514,333.921239852905,50,30,2612.26588470745
300,7.812,53.657681,2.24394850652917,329.01313495636,70,230,2987.34819065132
90,8.779,20.45894,2.24394850652917,329.739277839661,74,16,2768.6241026092
63,6.033,16.43156,8.23358745728582,337.899468421936,48,15,2961.32381166829
57,5.439,14.022429,8.44769467369417,336.787400245667,44,13,2530.50870159016
74,6.399,16.519889,4.96908704158531,326.538601875305,59,15,2828.76576889842
63,5.974,15.426484,9.34196325054918,342.122393608093,44,19,2242.44198123139
66,5.949,16.559717,8.44993526131926,337.244130134583,48,18,2764.90399693644
71,6.37,14.933842,3.39906677141811,326.796822547913,52,19,2589.51309664217
82,5.696,19.339589,9.77177469794972,343.762733459473,49,33,3482.65834579723
81,9.315,20.102784,2.24394850652917,329.877051353455,76,5,3518.67629054356
63,5.58,14.409571,7.19004568891872,332.457126617432,45,18,2119.49949021747
66,6.36,16.578677,8.36021641216134,337.460985183716,49,17,3253.69616276694
75,7.805,17.61489,2.50585889827923,328.64575958252,67,8,3067.56917559308
104,6.179,25.974489,6.30705155830486,333.421382904053,49,55,2834.9163672522
73,6.426,19.079599,8.84757997467659,340.454895019531,50,23,2970.79912261885
69,6.416,17.908438,8.73602731419331,341.378638267517,53,16,3097.39709533793
51,6.115,13.369106,8.75784920749939,338.341176986694,46,5,2350.10811270929
72,6.01,20.163079,9.63333498596534,342.533980369568,46,26,3219.78560434185
74,6.896,18.405238,5.80849697568343,328.162698745728,53,21,2804.16936104603
65,5.784,16.460067,8.20866687896632,340.889468193054,46,19,2784.87541315411
48,5.255,10.04681,8.3050479009031,336.831413269043,40,8,1991.3356647295
87,6.713,23.043486,6.36629603215768,333.199639320374,55,32,3674.1772562751
56,5.841,14.00781,10.0189186638089,341.951399803162,43,13,2368.6523630911
48,4.341,9.172037,7.82186756315597,330.214897155762,33,15,1275.40871360291
71,4.685,14.559447,8.5227066870576,335.078894615173,37,34,1775.02897533185
72,6.553,20.138776,10.6503710794484,348.621336936951,50,22,4128.32003978913
60,6.065,15.504145,9.08862191466317,339.24654006958,45,15,2688.78414900975
48,4.803,9.691397,9.98901635342934,342.287233352661,38,10,1533.10939532101
54,4.369,11.643472,9.51490562835611,339.592608451843,35,19,1630.1953213613
75,5.938,19.224288,10.6343055894557,346.849772453308,46,29,3094.24795879035
76,5.581,20.451192,10.4025358684708,346.816825866699,44,32,3066.6326771515
84,7.658,19.401539,2.24394850652917,330.157844543457,65,19,3065.72844661832
60,5.564,14.408906,9.4050691626495,342.124503135681,44,16,2252.23592484891
51,5.512,12.00099,8.04040828273737,334.469712257385,38,13,2001.01175980424
60,4.751,11.888965,8.83576921756773,336.519079208374,39,21,1787.80935558919
