IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
72,7.925,18.951725,6.43284625183061,330.154014587402,68,4,6170.82587655281
99,9.917,38.770263,4.90127351186844,351.785464286804,91,8,15051.8483300072
87,10.021,39.729029,2.60308609958506,359.558575630188,87,0,17269.9358351898
82,8.415,25.163643,6.59799424502685,333.863972663879,72,10,7910.98095804218
96,8.596,28.113849,2.51645401742128,337.83268737793,82,14,7867.24429450154
93,8.991,41.722748,5.06687438979741,364.136933326721,91,2,20651.1417385241
77,8.942,28.68238,2.30983131712228,344.901911735535,77,0,11219.7561329196
78,7.592,28.634401,3.89306867067366,346.374341964722,71,7,10838.9650450549
93,9.852,37.688536,4.49326012173542,352.425441741943,87,6,15606.856368141
86,8.773,34.960892,4.04007743852209,354.616755485535,82,4,10557.7874984984
84,9.015,32.520467,3.3601306024225,349.60131072998,80,4,10324.2882507926
81,8.478,25.214361,2.94929264171955,335.597004890442,77,4,7671.28385986168
78,7.159,23.119904,5.05058245743837,337.504250526428,69,9,6736.61742238333
106,10.013,43.790453,2.43856976141079,359.664359092712,96,10,13401.5656758587
108,8.898,32.057275,2.56984674380644,340.88867855072,82,26,8759.32640444982
87,8.39,29.008877,2.24394850652917,345.390256881714,82,5,8570.34391156095
80,7.801,27.232431,3.59541613909568,343.363541603088,73,7,9776.04026063324
101,10.561,35.442252,2.34192654304979,349.128293037415,95,6,10737.7414537261
84,10.03,39.816167,2.26459051592629,356.462780952454,84,0,13871.2455677373
84,9.858,39.923518,2.24394850652917,359.878393173218,84,0,14030.8634517789
78,8.621,25.740081,6.10928394633268,335.864378929138,76,2,10048.5411935479
96,9.773,41.380236,3.7166939033134,357.846837997437,93,3,16777.2215299935
96,9.506,27.24301,2.24394850652917,334.789010047913,89,7,7891.82722029055
69,7.283,20.053948,6.00912491228338,332.277800559998,62,7,6013.87362251393
93,9.861,46.26794,4.84633144297657,364.04477596283,85,8,13047.8512265382
87,10.11,41.803928,2.32948413091896,357.976583480835,87,0,13929.4738376689
84,8.716,32.489498,4.74212028237125,348.038612365723,77,7,11075.0073257667
87,9.66,35.020704,3.97531492174152,347.674865722656,82,5,11478.6879481904
69,7.406,21.224551,4.8763767695875,334.297890663147,62,7,9125.4210632425
108,9.591,29.974063,2.31108270914694,335.290229797363,81,27,7606.34424845746
81,7.831,24.593474,4.17587135022578,336.429015159607,65,16,7852.07132565771
99,10.264,47.08207,2.76314509854772,365.873882293701,99,0,18095.4854747905
78,7.676,22.545785,3.89134055787772,334.063611030579,68,10,9065.71418382255
69,7.487,21.545339,6.78890899591164,333.863662719727,64,5,9671.4309306888
84,8.271,29.102345,3.70957884580181,343.599341392517,76,8,11901.8257361837
92,9.792,45.124701,2.6443701183793,365.814100265503,92,0,18145.5839252853
81,7.717,27.60054,6.60092607777032,339.483857154846,67,14,9820.82328948183
90,7.478,27.878734,3.28300909964608,342.053933143616,71,19,10962.0393855316
81,9.016,33.461796,4.17093729024286,352.853000640869,78,3,12273.5021213697
95,10.123,40.653851,3.73113854268367,355.917689323425,89,6,19154.8645036392
96,9.807,28.107255,2.24394850652917,338.519898414612,85,11,11401.7661307571
78,9.162,30.041278,2.42194412451184,344.285981178284,75,3,9042.12839524561
81,9.488,32.893525,2.73276606739688,344.360059738159,78,3,11323.4702844535
81,9.084,35.640432,2.24394850652917,353.403607368469,81,0,13669.5203355592
84,8.14,24.638906,2.24394850652917,332.080572128296,77,7,6592.7852145986
