IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
44,2.243,1.729892,21.8847179878049,33.3971481323242,26,18,417.735432828622
48,2.648,2.271227,11.9815167682927,35.1770296096802,40,8,613.64804167762
46,3.206,2.162562,21.5329649390244,33.8770942687988,37,9,520.637112788091
50,3.155,2.474972,17.9809451219512,35.238184928894,45,5,940.657441921213
51,3.506,2.214563,15.0139100609756,33.3946466445923,40,11,695.917886397663
42,3.295,1.828446,17.4628429878049,32.7287445068359,34,8,302.28411518672
45,2.935,1.862736,18.4035823170732,33.0155010223389,31,14,604.769476162944
69,3.028,2.872734,14.2844893292683,36.1312465667725,41,28,1098.81624447752
51,3.166,2.44242,18.6983612804878,34.702956199646,40,11,1085.09383837837
48,3.381,2.236333,15.6836890243902,33.5298900604248,39,9,436.539946660129
54,2.929,2.221237,20.4342606707317,33.650821685791,35,19,384.682979064472
51,3.847,2.519814,12.2631478658537,34.9226217269897,44,7,717.187465274055
45,3.393,1.933054,14.6669207317073,32.5652647018433,34,11,396.168395825017
51,2.789,1.934306,23.3094512195122,33.9224290847778,29,22,473.124499636561
39,2.364,1.567318,20.5527820121951,32.883318901062,28,11,293.45616424251
54,2.798,2.419852,17.7029344512195,35.6467123031616,38,16,812.394326110563
42,2.99,1.946904,17.8113567073171,33.8616781234741,36,6,568.693584905306
45,3.141,2.147348,21.9731326219512,34.6059980392456,35,10,625.793312078654
54,2.87,2.246698,18.053925304878,33.9982328414917,35,19,596.397483226774
42,3.812,2.37793,16.9251143292683,34.4517345428467,37,5,533.447774142606
48,3.413,2.624505,21.2250381097561,36.1633319854736,39,9,592.035270131515
36,2.875,1.784377,22.1560594512195,34.9416580200195,32,4,466.421489987148
53,3.303,2.34696,16.7309451219512,33.688681602478,37,16,609.729837121467
42,2.73,1.953318,20.7943978658537,33.6892929077148,31,11,447.353132054469
54,3.063,2.467652,18.4344512195122,34.7888708114624,39,15,598.035566135368
48,4.031,2.787383,15.0567835365854,37.0035562515259,42,6,548.75661892822
39,2.664,1.764395,23.6038490853659,33.7718353271484,31,8,522.331110267463
45,3.074,1.992665,16.5981326219512,32.5724382400513,35,10,348.669676869158
60,3.149,2.868139,10.9550304878049,35.5385980606079,52,8,753.072185058119
51,2.905,2.228202,16.1183307926829,33.9084444046021,37,14,400.816105051678
66,3.944,3.261823,14.5598323170732,36.4604072570801,46,20,925.240053896946
51,3.598,2.667986,18.0358231707317,35.7412872314453,40,11,852.765786511272
60,3.5,2.86503,19.0282012195122,35.8162279129028,40,20,553.493597285686
63,4.022,2.981096,13.3540396341463,35.1702013015747,46,17,764.79334016852
300,2.532,9.995197,19.7202743902439,33.3204412460327,29,271,353.28732042671
75,3.542,3.094754,19.8793826219512,35.1406269073486,42,33,709.858546154943
54,3.643,2.526625,11.3568978658537,35.0666904449463,46,8,636.89702503804
54,2.926,2.594112,19.710175304878,35.6152095794678,43,11,740.496619525581
69,3.274,2.951366,21.9272103658537,34.2935552597046,41,28,1017.78764416104
42,3.732,1.90626,15.2905868902439,32.8540849685669,37,5,547.395821703675
48,3.014,2.230561,15.1716844512195,34.8588171005249,43,5,1149.8580323284
45,2.976,2.285181,21.6232850609756,35.4514045715332,38,7,878.546787756389
50,3.132,2.49144,19.9609375,35.4188385009766,42,8,816.485851464951
59,3.199,2.443674,18.6720655487805,33.9502735137939,39,20,455.182688121751
45,3.106,2.187996,16.2823932926829,34.984691619873,40,5,714.196602468616
