IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
87,6.943,28.321176,2.99573716286307,350.055623054504,65,22,3929.05944967481
101,8.342,37.294367,3.5559198231938,359.455041885376,76,25,4273.08076210393
102,9.126,40.830458,3.04364760037833,362.090306282043,88,14,5669.74700950302
78,7.793,36.816545,5.90763106007444,364.618658065796,67,11,4329.55025482945
90,8.663,34.545358,3.45695259107274,356.401616096497,74,16,4359.19063623404
78,7.451,26.030825,2.24394850652917,348.896769523621,67,11,2780.40274220858
91,7.813,36.02049,4.19529772165609,362.190540313721,68,23,2630.35918285899
72,6.777,28.604099,4.5858512135404,357.248554229736,64,8,4487.37200662152
84,8.031,34.117768,3.44651240618135,359.636564254761,73,11,4087.46517058329
126,9.544,50.256756,3.80514944242739,372.280950546265,86,40,5252.98155621295
105,9.08,45.400864,3.58269961252136,372.694858551025,88,17,8476.45076915932
91,9.203,44.833154,3.95619841881255,375.996801376343,83,8,6792.3095268121
84,8.777,42.302153,5.59764337853917,371.428196907043,77,7,6606.14662161766
93,7.849,34.810186,3.63015716530388,360.277984619141,67,26,3692.02110600288
98,9.509,44.586897,2.51070953212717,376.307378768921,85,13,5232.56950751727
93,8.367,36.067354,3.43824130079937,358.953727722168,73,20,4588.42898508398
100,9.361,45.816215,3.46244679796192,376.113995552063,81,19,5413.04460253738
77,8.285,30.941117,3.59000535834147,350.821144104004,70,7,4387.63698367617
96,8.12,30.61958,2.24394850652917,349.02383518219,76,20,3267.92354703397
94,6.825,25.239167,4.672602475897,336.864639282227,51,43,1708.11396019595
110,7.71,29.871307,2.24394850652917,344.252670288086,67,43,2453.57938491739
74,7.413,30.403148,3.77455588692946,357.25116443634,62,12,3423.07361460016
300,8.85,76.41793,2.24394850652917,344.0265417099,80,220,3284.80765093723
83,8.316,25.047734,2.24394850652917,342.486048698425,70,13,2252.93192381285
78,7.691,25.630167,3.54078393870515,342.298761367798,65,13,2932.4517054835
92,8.233,31.758555,2.73723532462778,349.940079689026,71,21,3349.72533857575
87,8.414,39.968594,4.49106720618745,368.460465431213,82,5,5046.42807927689
86,7.806,32.131466,2.57988171604223,359.584054946899,73,13,3344.5676977806
114,8.749,42.172589,2.8904057084452,367.581448554993,88,26,5433.6277126179
84,7.951,36.337482,3.50415986545033,363.845091819763,75,9,5029.24889201289
84,4.86,24.739307,6.90575325695631,343.594044685364,43,41,2389.0225043121
72,6.039,25.832396,3.90303213479375,355.057531356812,59,13,3658.289374411
87,7.969,25.508405,2.24394850652917,340.66187286377,66,21,2459.61524898654
102,8.05,31.796501,2.24394850652917,355.126289367676,78,24,4500.09438327913
99,8.332,36.532615,2.42338620484501,363.569767951965,85,14,3342.76458491191
99,9.069,28.433694,2.24394850652917,346.633334159851,84,15,2760.9803016508
84,7.847,30.623267,2.92770910879912,350.744281768799,66,18,2677.62966150288
300,7.716,63.506971,2.49441759976812,347.067432403564,68,232,3813.67504120781
78,6.584,26.072666,4.33492923556871,345.848835945129,58,20,2427.87053594361
76,7.42,30.67278,4.53595046680498,355.242209434509,59,17,2894.46224831242
72,7.358,27.406796,3.55184386059922,350.226168632507,62,10,3093.26808678066
300,10.741,62.059014,2.24394850652917,345.811095237732,85,215,3007.65838784785
99,7.016,33.787523,4.18694319013913,357.665148735046,67,32,4086.92605978914
300,12.765,362.359934,2.35972014583842,857.48339176178,300,0,3733.10028064687
86,7.39,33.247384,4.50899190718819,359.768153190613,67,19,4443.15088353227
