IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
152,14.1,318.350139,0.639763914451099,5005.06028270721,147,5,117538.94243668
90,6.143,107.679642,2.00930714425351,4823.32296276093,43,47,26075.4116934594
124,11.442,305.354476,0.970235108092386,5038.9840221405,119,5,119746.40367463
300,109.68,673.490003,0.774167165328425,5197.44495296478,300,0,81227.1657794855
144,22.912,867.281465,1.7429517339125,5387.21763038635,144,0,195400.522332746
191,21.89,747.315823,1.59570297599748,5297.00509548187,188,3,169889.056040305
120,12.049,259.791391,0.597427084128013,4960.12491989136,109,11,74716.1878869527
153,11.323,297.53823,0.990388443603143,4950.26599121094,133,20,72460.5705447494
90,9.101,157.463008,0.579364998951022,4877.64902496338,90,0,50812.6231494264
114,13.59,365.522386,0.995484329703235,4981.21401977539,114,0,117937.993496422
69,7.179,159.158784,3.70175745489396,4922.25652503967,59,10,38391.3062362368
137,14.413,470.830771,0.930759126106195,5024.970744133,129,8,139192.161369844
126,13.898,417.608859,0.744327176151968,5022.02442359924,123,3,144152.297814569
148,14.741,479.93276,0.763269121195072,4986.17865467072,139,9,112473.418901206
99,9.303,253.170425,0.767306344407995,4863.38904380798,87,12,47934.3760828439
159,15.793,488.720488,0.67148208036123,4953.67387199402,157,2,128208.968277975
90,10.94,279.013077,0.616195441238175,4990.82931518555,90,0,134022.352208803
131,13.786,382.172783,0.600585192487412,4942.22654342651,125,6,107030.842312994
114,13.178,360.562052,0.667403881455981,4967.21102428436,112,2,82691.0989998805
300,24.686,1130.770777,1.03785394058018,5202.34710502625,159,141,196015.087789561
181,20.699,696.396142,0.778653631131752,5125.27926445007,173,8,138621.848937365
140,15.245,401.063372,0.579364998951022,4922.41947174072,121,19,75570.0408557592
90,9.229,225.047606,1.3643393168771,4869.74908351898,74,16,74422.2796961494
81,8.829,199.041147,1.15052591928593,4863.01996994019,69,12,51540.9388746471
102,10.867,648.769478,1.52840151887206,5533.63971138,101,1,132589.577077983
144,14.865,587.208825,1.08099836454837,5172.11330127716,133,11,176970.091873771
135,13.888,436.484431,0.894412942001068,4994.14221763611,125,10,147155.965406134
75,6.676,179.242401,1.14423130793218,4881.10939311981,62,13,30770.6992150417
147,16.074,421.425561,0.705932207430577,4917.64164638519,142,5,128230.24263905
96,10.521,263.523001,1.69488575678975,4938.10803031921,92,4,140778.671823254
159,17.535,535.027965,0.786996282089182,5026.21176242828,151,8,205706.283262714
138,15.434,451.060044,0.781363986925923,4987.98135566711,137,1,160341.556682702
122,12.553,311.806791,0.643573163812176,4880.28137969971,118,4,80168.3172521492
105,10.649,302.340903,0.998594757257019,4935.53549575806,91,14,109709.258842151
102,10.026,267.849034,0.579364998951022,4935.39395141602,97,5,87461.957904192
204,22.093,794.681604,1.05417865640258,5156.68415641785,193,11,304788.998197924
131,13.359,389.451604,0.600410114529295,5001.51874828339,118,13,124273.96044068
160,15.014,557.36121,0.676011756894645,5093.65530776978,140,20,202870.922491557
189,19.396,673.693364,1.03426744998283,5086.82531070709,174,15,201436.398319534
124,14.193,392.996689,0.620431582812023,5006.75755882263,119,5,91551.7857112282
143,17.48,475.825683,0.709172267174626,5010.80800914764,132,11,153197.150309721
138,14.682,442.688801,0.882071808485276,5032.44617176056,132,6,166109.729598714
132,12.072,376.789737,0.972242172003738,4912.96929264069,113,19,88943.5485776471
90,9.037,237.442546,0.8990387251583,4930.83099460602,89,1,92527.5616666077
117,13.195,302.327501,0.88438060249466,4897.28675556183,117,0,85554.0754549151
