IPMiter,CGiterx1000,time,maxfill,memory,ititer,diriter,objIPM
90,9.244,29.209354,2.72153929323285,346.723614692688,80,10,7775.60660490183
117,11.047,30.654419,2.24394850652917,339.485885620117,104,13,8977.79267468644
91,10.072,23.165446,2.24394850652917,335.9214220047,82,9,6394.29706213187
111,10.208,29.200049,2.66285496628631,340.42423248291,91,20,7215.40945336554
125,13.221,44.40225,2.37069664159751,356.618032455444,120,5,11289.4180526533
87,10.092,28.141821,2.329865507536,340.047232627869,85,2,8821.6895974544
75,7.798,20.710076,2.24394850652917,336.891548156738,70,5,7309.30015875634
84,9.755,32.174702,2.58038227285209,350.352922439575,82,2,11766.0839637697
98,8.763,30.973846,3.08786345191604,347.980153083801,85,13,9540.77886059469
78,8.606,22.543922,2.45290713860752,335.745390892029,71,7,7127.65019433709
74,6.023,16.332156,8.21027581156944,338.299045562744,51,23,4064.6135336313
84,7.517,19.724881,2.65991121552355,332.980278968811,64,20,3895.82416440151
78,7.696,21.273865,3.35519654243959,335.168705940247,66,12,5790.89740057942
84,6.612,19.304517,5.95681672565292,332.08770942688,55,29,4567.14737771925
98,10.13,23.522092,2.24394850652917,337.413679122925,88,10,4814.37556250722
132,12.32,37.167148,2.24394850652917,352.726989746094,103,29,9407.45735079534
96,10.038,28.667722,2.24394850652917,343.08805847168,78,18,5834.20219523707
93,9.613,22.551938,2.24394850652917,332.961706161499,81,12,5893.95067012408
87,7.481,23.00645,8.60527472464608,337.56788444519,58,29,6402.39778972437
84,9.15,27.916627,3.13986177004515,344.533659934998,78,6,8042.40321258733
84,7.754,23.777819,7.44907192000244,338.351147651672,68,16,8647.57596522483
300,19.488,219.618445,2.24394850652917,562.974848747253,300,0,6840.69622231959
86,9.363,34.907307,3.98527838586161,354.746862411499,82,4,10898.6686219154
75,8.373,24.541893,2.84617793888821,343.820638656616,70,5,8533.5495942675
300,6.758,35.667666,4.45942486499268,334.126142501831,52,248,4736.50224697833
96,10.226,25.497448,2.24394850652917,336.350246429443,89,7,7433.00039406563
87,9.373,21.558251,2.24394850652917,333.130524635315,82,5,6910.02897673993
69,7.407,17.506418,3.52116687896632,330.978021621704,62,7,4557.98634548145
81,9.442,31.340712,2.332439799701,351.992774009705,79,2,10719.6471573324
78,7.875,23.132169,4.3150261433671,338.191759109497,67,11,7457.50628380606
93,9.512,25.768219,2.62152327541494,339.181246757507,84,9,5979.28739224971
88,6.845,19.016437,8.04272037847815,336.458864212036,61,27,4693.13151942186
77,6.915,20.670019,7.49626727636075,339.912721633911,60,17,5649.4273862371
113,10.048,34.526723,2.95527548739932,350.990747451782,82,31,8929.90171837865
90,9.501,25.272591,2.24394850652917,339.451711654663,86,4,7338.20034985178
102,8.246,25.725653,3.29661947766659,338.04407119751,67,35,5715.76739232616
86,9.256,22.367567,2.24394850652917,338.854238510132,82,4,6370.27402955742
108,11.053,34.248526,2.24394850652917,351.125558853149,94,14,9252.33821670498
81,7.319,21.528186,5.06357309845619,335.004395484924,64,17,5914.81383347951
83,6.165,21.282226,7.19389520914694,337.451531410217,56,27,6069.73782658697
75,8.417,26.503421,2.99601127730657,346.15350151062,71,4,8452.51761686252
89,8.651,23.03423,2.24394850652917,336.055401802063,78,11,6325.55166573817
111,12.448,42.856325,2.24394850652917,360.683708190918,103,8,12136.0703511242
81,8.611,20.841328,2.24394850652917,335.780510902405,73,8,6272.34066889403
87,8.991,36.486518,2.42716421695753,362.794306755066,87,0,12959.0504903769
